tick,mother_id,child_id,r,benefit,cost,success
0,1228,1229,0.5,0.008,0.03,True
0,1224,1225,0.5,0.008,0.03,True
0,1236,1237,0.5,0.008,0.03,True
0,1240,1237,0.0,0.0,0.03,True
0,1242,1243,0.5,0.008,0.03,True
0,1230,1231,0.5,0.008,0.03,True
1,1242,1243,0.5,0.008,0.03,True
1,1240,1241,0.5,0.016,0.03,True
2,1240,1237,0.0,0.016,0.03,True
2,1242,1243,0.5,0.008,0.03,True
3,1230,1245,0.0,0.032,0.04,True
3,1244,1231,0.0,0.024,0.045,True
3,1240,1237,0.0,0.008,0.03,True
3,1238,1225,0.0,0.024,0.045,True
3,1236,1241,0.0,0.016,0.04,True
4,1244,1231,0.0,0.008,0.03,True
4,1240,1237,0.0,0.008,0.03,True
4,1224,1227,0.0,0.04,0.045,True
5,1236,1237,0.5,0.008,0.034999999999999996,True
5,1242,1243,0.5,0.024,0.034999999999999996,True
6,1230,1231,0.5,0.016,0.04,True
8,1242,1243,0.5,0.024,0.034999999999999996,True
8,1244,1245,0.5,0.04,0.045,True
8,1240,1241,0.5,0.04,0.03,True
9,1228,1235,0.0,0.08000000000000002,0.06,True
10,1240,1237,0.0,0.04,0.034999999999999996,True
10,1238,1225,0.0,0.056,0.06,True
11,1238,1225,0.0,0.008,0.03,True
11,1244,1231,0.0,0.04,0.04,True
12,1240,1241,0.5,0.032,0.034999999999999996,True
12,1236,1241,0.0,0.0,0.04,True
13,1242,1243,0.5,0.04,0.034999999999999996,True
14,1236,1237,0.5,0.032,0.034999999999999996,True
14,1240,1237,0.0,0.0,0.034999999999999996,True
14,1244,1245,0.5,0.048,0.04,True
14,1226,1225,0.0,0.024,0.09499999999999999,True
14,1242,1243,0.5,0.008,0.03,True
15,1226,1225,0.0,0.008,0.03,True
15,1234,1235,0.5,0.048,0.105,True
15,1242,1243,0.5,0.008,0.03,True
15,1232,1247,0.0,0.12800000000000006,0.105,True
16,1236,1241,0.0,0.032,0.034999999999999996,True
16,1240,1241,0.5,0.0,0.034999999999999996,True
16,1230,1245,0.0,0.016,0.055,True
16,1226,1225,0.0,0.008,0.03,True
17,1244,1231,0.0,0.048,0.04,True
17,1226,1225,0.0,0.008,0.03,True
18,1228,1235,0.0,0.024,0.07,True
18,1236,1237,0.5,0.032,0.034999999999999996,True
19,1230,1231,0.5,0.016,0.04,True
20,1242,1243,0.5,0.04,0.03,True
20,1226,1239,0.0,0.1680000000000001,0.04,True
20,1234,1229,0.0,0.1600000000000001,0.05,True
21,1246,1239,0.0,0.008,0.125,True
21,1242,1243,0.5,0.008,0.03,True
21,1230,1245,0.0,0.04,0.034999999999999996,True
22,1236,1241,0.0,0.048,0.04,True
22,1242,1243,0.5,0.008,0.03,True
23,1236,1241,0.0,0.008,0.03,True
24,1236,1241,0.0,0.008,0.03,True
25,1228,1235,0.0,0.056,0.06,True
25,1236,1241,0.0,0.008,0.03,True
25,1244,1231,0.0,0.048,0.04,True
26,1232,1233,0.5,0.2,0.07999999999999999,True
27,1234,1229,0.0,0.056,0.05,True
28,1224,1225,0.5,0.08800000000000002,0.14,True
28,1244,1245,0.5,0.056,0.04,True
30,1228,1229,0.5,0.024,0.05,True
30,1240,1237,0.0,0.09600000000000003,0.09,True
30,1246,1227,0.0,0.2,0.07,True
31,1244,1231,0.0,0.048,0.04,True
31,1240,1237,0.0,0.008,0.03,True
32,1224,1227,0.0,0.02400000000000012,0.045,True
32,1244,1231,0.0,0.008,0.03,True
32,1240,1237,0.0,0.008,0.03,True
33,1240,1237,0.0,0.008,0.03,True
33,1244,1231,0.0,0.008,0.03,True
34,1244,1231,0.0,0.008,0.03,True
34,1240,1237,0.0,0.008,0.03,True
35,1244,1231,0.0,0.008,0.03,True
36,1244,1231,0.0,0.008,0.03,True
36,1234,1235,0.5,0.08800000000000002,0.05,True
37,1244,1231,0.0,0.008,0.03,True
42,1224,1239,0.0,0.1680000000000001,0.05,True
42,1240,1241,0.5,0.13600000000000007,0.045,True
42,1226,1239,0.0,0.0,0.12000000000000001,True
44,1234,1235,0.5,0.064,0.06,True
44,1236,1237,0.5,0.08000000000000002,0.09,True
45,1238,1233,0.0,0.1680000000000002,0.17000000000000004,True
45,1246,1247,0.5,0.2,0.09499999999999999,True
48,1230,1231,0.5,0.08800000000000002,0.125,True
49,1244,1245,0.5,0.1680000000000001,0.055,True
50,1246,1227,0.0,0.14400000000000007,0.05,True
52,1240,1241,0.5,0.08000000000000002,0.07,True
54,1236,1243,0.0,0.2,0.065,True
55,1240,1237,0.0,0.08800000000000002,0.04,True
56,1240,1237,0.0,0.008,0.03,True
58,1244,1231,0.0,0.08000000000000002,0.055,True
58,1232,1247,0.0,0.1440000000000002,0.15000000000000002,True
59,1244,1231,0.0,0.008,0.03,True
61,1234,1229,0.0,0.2,0.09999999999999999,True
65,1238,1225,0.0,0.2,0.075,True
66,1244,1245,0.5,0.13600000000000007,0.05,True
67,1232,1247,0.0,0.07200000000000001,0.07,True
67,1228,1229,0.5,0.09600000000000017,0.07999999999999999,True
68,1232,1247,0.0,0.008,0.03,True
70,1238,1225,0.0,0.13600000000000023,0.034999999999999996,True
72,1238,1225,0.0,0.016,0.03,True
72,1228,1235,0.0,0.2,0.05,True
73,1232,1233,0.5,0.2,0.05,True
