tick,mother_id,child_id,r,benefit,cost,success
129,26,30,0.0,0.2,0.09,True
129,23,33,0.0,0.2,0.08,True
129,18,32,0.0,0.02,0.03,True
130,23,33,0.0,0.2,0.03,True
130,18,32,0.0,0.02,0.03,True
131,28,37,0.5,0.16,0.05,True
131,18,32,0.0,0.02,0.03,True
132,27,34,0.0,0.2,0.09,True
133,26,35,0.5,0.2,0.06,True
137,26,30,0.0,0.2,0.06,True
138,21,29,0.0,0.2,0.03,True
139,24,35,0.0,0.2,0.2,True
141,28,37,0.5,0.19999999999999998,0.07,True
143,25,33,0.0,0.2,0.08,True
144,24,30,0.0,0.17999999999999988,0.07,True
145,18,32,0.0,0.2,0.08,True
145,27,34,0.0,0.2,0.09,True
151,22,31,0.5,0.20000000000000007,0.12,True
152,28,37,0.5,0.2,0.07,True
155,24,35,0.0,0.20000000000000007,0.12,True
155,26,35,0.5,0.2,0.07,True
158,18,36,0.0,0.2,0.07,True
161,18,34,0.0,0.2,0.05,True
163,28,37,0.5,0.2,0.07,True
170,18,31,0.0,0.19999999999999996,0.08,True
174,28,37,0.5,0.2,0.07,True
187,28,32,0.0,0.20000000000000007,0.08,True
207,38,40,0.5,0.16,0.06,True
209,39,41,0.5,0.19999999999999998,0.06,True
216,38,40,0.5,0.18,0.07,True
