tick,agent_id,agent_type,lineage_id,generation,cause
99,12849,child,0,1,hunger
99,12851,child,1,1,hunger
99,12853,child,2,1,hunger
99,12855,child,3,1,hunger
99,12857,child,4,1,hunger
99,12859,child,5,1,hunger
99,12861,child,6,1,hunger
99,12863,child,7,1,hunger
99,12865,child,8,1,hunger
99,12867,child,9,1,hunger
99,12869,child,10,1,hunger
99,12871,child,11,1,hunger
134,12854,mother,3,0,starvation
141,12862,mother,7,0,starvation
142,12850,mother,1,0,starvation
153,12852,mother,2,0,starvation
157,12870,mother,11,0,starvation
175,12856,mother,4,0,starvation
185,12858,mother,5,0,starvation
195,12866,mother,9,0,starvation
199,12884,child,0,2,hunger
199,12885,child,1,2,hunger
199,12886,child,2,2,hunger
199,12887,child,3,2,hunger
199,12888,child,4,2,hunger
199,12889,child,5,2,hunger
199,12890,child,6,2,hunger
199,12891,child,7,2,hunger
199,12892,child,8,2,hunger
199,12893,child,9,2,hunger
199,12894,child,10,2,hunger
199,12895,child,11,2,hunger
259,12881,mother,9,1,starvation
261,12873,mother,1,1,starvation
265,12880,mother,8,1,starvation
266,12876,mother,4,1,starvation
273,12877,mother,5,1,starvation
275,12883,mother,11,1,starvation
280,12848,mother,0,0,starvation
293,12878,mother,6,1,starvation
299,12908,child,0,3,hunger
299,12909,child,1,3,hunger
299,12910,child,2,3,hunger
299,12911,child,3,3,hunger
299,12912,child,4,3,hunger
299,12913,child,5,3,hunger
299,12914,child,6,3,hunger
299,12915,child,7,3,hunger
299,12916,child,8,3,hunger
299,12917,child,9,3,hunger
299,12918,child,10,3,hunger
299,12919,child,11,3,hunger
301,12874,mother,2,1,starvation
308,12864,mother,8,0,starvation
310,12882,mother,10,1,starvation
315,12902,mother,6,2,starvation
318,12903,mother,7,2,starvation
325,12868,mother,10,0,starvation
331,12879,mother,7,1,starvation
335,12906,mother,10,2,starvation
337,12900,mother,4,2,starvation
338,12872,mother,0,1,starvation
345,12907,mother,11,2,starvation
367,12920,mother,0,3,starvation
370,12897,mother,1,2,starvation
371,12898,mother,2,2,starvation
379,12904,mother,8,2,starvation
399,12932,child,0,4,hunger
399,12933,child,1,4,hunger
399,12934,child,2,4,hunger
399,12935,child,3,4,hunger
399,12936,child,4,4,hunger
399,12937,child,5,4,hunger
399,12938,child,6,4,hunger
399,12939,child,7,4,hunger
399,12940,child,8,4,hunger
399,12941,child,9,4,hunger
399,12942,child,10,4,hunger
399,12943,child,11,4,hunger
401,12896,mother,0,2,starvation
404,12901,mother,5,2,starvation
405,12927,mother,7,3,starvation
406,12926,mother,6,3,starvation
406,12930,mother,10,3,starvation
408,12905,mother,9,2,starvation
409,12929,mother,9,3,starvation
411,12860,mother,6,0,starvation
418,12925,mother,5,3,starvation
419,12928,mother,8,3,starvation
422,12899,mother,3,2,starvation
426,12924,mother,4,3,starvation
438,12922,mother,2,3,starvation
451,12931,mother,11,3,starvation
495,12921,mother,1,3,starvation
499,12956,child,0,5,hunger
499,12957,child,1,5,hunger
499,12958,child,2,5,hunger
499,12959,child,3,5,hunger
499,12960,child,4,5,hunger
499,12961,child,5,5,hunger
499,12962,child,6,5,hunger
499,12963,child,7,5,hunger
499,12964,child,8,5,hunger
499,12965,child,9,5,hunger
499,12966,child,10,5,hunger
499,12967,child,11,5,hunger
501,12875,mother,3,1,starvation
511,12946,mother,2,4,starvation
520,12954,mother,10,4,starvation
525,12948,mother,4,4,starvation
528,12951,mother,7,4,starvation
541,12944,mother,0,4,starvation
543,12950,mother,6,4,starvation
549,12949,mother,5,4,starvation
551,12947,mother,3,4,starvation
557,12923,mother,3,3,starvation
559,12953,mother,9,4,starvation
577,12945,mother,1,4,starvation
598,12976,mother,8,5,starvation
599,12980,child,0,6,hunger
599,12981,child,1,6,hunger
599,12982,child,2,6,hunger
599,12983,child,3,6,hunger
599,12984,child,4,6,hunger
599,12985,child,5,6,hunger
599,12986,child,6,6,hunger
599,12987,child,7,6,hunger
599,12988,child,8,6,hunger
599,12989,child,9,6,hunger
599,12990,child,10,6,hunger
599,12991,child,11,6,hunger
603,12955,mother,11,4,starvation
604,12979,mother,11,5,starvation
606,12968,mother,0,5,starvation
606,12969,mother,1,5,starvation
606,12974,mother,6,5,starvation
607,12977,mother,9,5,starvation
608,12975,mother,7,5,starvation
609,12970,mother,2,5,starvation
611,12971,mother,3,5,starvation
618,12973,mother,5,5,starvation
620,12972,mother,4,5,starvation
693,12978,mother,10,5,starvation
699,13004,child,0,7,hunger
699,13005,child,1,7,hunger
699,13006,child,2,7,hunger
