tick,agent_id,agent_type,lineage_id,generation,cause
99,14790,child,0,1,hunger
99,14792,child,1,1,hunger
99,14794,child,2,1,hunger
99,14796,child,3,1,hunger
99,14798,child,4,1,hunger
99,14800,child,5,1,hunger
99,14802,child,6,1,hunger
99,14804,child,7,1,hunger
99,14806,child,8,1,hunger
99,14808,child,9,1,hunger
99,14810,child,10,1,hunger
99,14812,child,11,1,hunger
99,14814,child,12,1,hunger
99,14816,child,13,1,hunger
99,14818,child,14,1,hunger
99,14820,child,15,1,hunger
99,14822,child,16,1,hunger
99,14824,child,17,1,hunger
99,14826,child,18,1,hunger
99,14828,child,19,1,hunger
99,14830,child,20,1,hunger
99,14832,child,21,1,hunger
99,14834,child,22,1,hunger
99,14836,child,23,1,hunger
99,14838,child,24,1,hunger
99,14840,child,25,1,hunger
117,14839,mother,25,0,starvation
118,14797,mother,4,0,starvation
120,14813,mother,12,0,starvation
122,14823,mother,17,0,starvation
182,14817,mother,14,0,starvation
211,14799,mother,5,0,starvation
217,14829,mother,20,0,starvation
223,14827,mother,19,0,starvation
231,14789,mother,0,0,starvation
252,14835,mother,23,0,starvation
253,14809,mother,10,0,starvation
261,14845,mother,4,1,starvation
261,14853,mother,12,1,starvation
261,14858,mother,17,1,starvation
261,14865,mother,24,1,starvation
261,14866,mother,25,1,starvation
262,14807,mother,9,0,starvation
264,14860,mother,19,1,starvation
265,14857,mother,16,1,starvation
266,14850,mother,9,1,starvation
271,14805,mother,8,0,starvation
274,14795,mother,3,0,starvation
274,14855,mother,14,1,starvation
277,14791,mother,1,0,starvation
278,14864,mother,23,1,starvation
284,14849,mother,8,1,starvation
288,14852,mother,11,1,starvation
302,14821,mother,16,0,starvation
302,14848,mother,7,1,starvation
308,14837,mother,24,0,starvation
311,14833,mother,22,0,starvation
315,14861,mother,20,1,starvation
315,14862,mother,21,1,starvation
316,14801,mother,6,0,starvation
320,14843,mother,2,1,starvation
322,14863,mother,22,1,starvation
327,14847,mother,6,1,starvation
329,14819,mother,15,0,starvation
330,14831,mother,21,0,starvation
332,14803,mother,7,0,starvation
332,14825,mother,18,0,starvation
335,14841,mother,0,1,starvation
339,14842,mother,1,1,starvation
341,14793,mother,2,0,starvation
342,14815,mother,13,0,starvation
342,14844,mother,3,1,starvation
353,14851,mother,10,1,starvation
359,14811,mother,11,0,starvation
365,14854,mother,13,1,starvation
368,14856,mother,15,1,starvation
389,14846,mother,5,1,starvation
392,14859,mother,18,1,starvation
