tick,mother_id,child_id,mother_lineage_id,mother_generation,mother_care_weight,mother_forage_weight,mother_self_weight
99,11557,11569,0,1,0.500080,0.509935,0.500000
99,11558,11570,1,1,0.449618,0.500000,0.500000
99,11559,11571,2,1,0.500880,0.500000,0.500000
99,11560,11572,3,1,0.500080,0.500000,0.500000
99,11561,11573,4,1,0.500000,0.500000,0.500000
99,11562,11574,5,1,0.529227,0.500000,0.500000
99,11563,11575,6,1,0.500000,0.500000,0.450841
99,11564,11576,7,1,0.501680,0.500000,0.500000
99,11565,11577,8,1,0.500000,0.500000,0.631473
99,11566,11578,9,1,0.501360,0.500000,0.500000
99,11567,11579,10,1,0.632517,0.500000,0.500000
99,11568,11580,11,1,0.503600,0.500000,0.500000
199,11581,11593,0,2,0.500480,0.509935,0.500000
199,11582,11594,1,2,0.449618,0.500000,0.500000
199,11583,11595,2,2,0.500880,0.500000,0.500000
199,11584,11596,3,2,0.501200,0.500000,0.500000
199,11585,11597,4,2,0.502000,0.500000,0.500000
199,11586,11598,5,2,0.530187,0.500000,0.500000
199,11587,11599,6,2,0.501760,0.500000,0.450841
199,11588,11600,7,2,0.505200,0.500000,0.500000
199,11589,11601,8,2,0.500000,0.500000,0.631473
199,11590,11602,9,2,0.502240,0.500000,0.500000
199,11591,11603,10,2,0.633759,0.579429,0.500000
199,11592,11604,11,2,0.511557,0.500000,0.500000
299,11605,11617,0,3,0.500480,0.509935,0.500000
299,11606,11618,1,3,0.449618,0.500000,0.500000
299,11607,11619,2,3,0.502240,0.500000,0.500000
299,11608,11620,3,3,0.501200,0.500000,0.500000
299,11609,11621,4,3,0.504960,0.500000,0.500000
299,11610,11622,5,3,0.530187,0.500000,0.500000
299,11611,11623,6,3,0.501840,0.500000,0.450841
299,11612,11624,7,3,0.505859,0.449676,0.500000
299,11613,11625,8,3,0.500720,0.466279,0.631473
299,11614,11626,9,3,0.502240,0.500000,0.500000
299,11615,11627,10,3,0.635312,0.579429,0.539359
299,11616,11628,11,3,0.490180,0.500000,0.500000
399,11629,11641,0,4,0.500480,0.509935,0.500000
399,11630,11642,1,4,0.449618,0.500000,0.500000
399,11631,11643,2,4,0.502240,0.500000,0.500000
399,11632,11644,3,4,0.501200,0.500000,0.500000
399,11633,11645,4,4,0.504960,0.500000,0.500000
399,11634,11646,5,4,0.530187,0.500000,0.500000
399,11635,11647,6,4,0.485181,0.500000,0.450841
399,11636,11648,7,4,0.505859,0.449676,0.500000
399,11637,11649,8,4,0.500720,0.621086,0.631473
399,11638,11650,9,4,0.502240,0.500000,0.500000
399,11639,11651,10,4,0.500000,0.500000,0.500000
399,11640,11652,11,4,0.490180,0.500000,0.500000
481,11586,11653,5,2,0.530187,0.500000,0.500000
499,11654,11666,0,5,0.503040,0.509935,0.500000
499,11655,11667,1,5,0.450418,0.500000,0.500000
499,11656,11668,2,5,0.502240,0.500000,0.500000
499,11657,11669,3,5,0.504439,0.500000,0.500000
499,11658,11670,4,5,0.505760,0.500000,0.500000
499,11659,11671,5,5,0.530187,0.500000,0.500000
499,11660,11672,6,5,0.485181,0.500000,0.450841
499,11661,11673,7,5,0.508659,0.449676,0.500000
499,11662,11674,8,5,0.500720,0.621086,0.631473
499,11663,11675,9,5,0.505269,0.500000,0.500000
499,11664,11676,10,5,0.501200,0.500000,0.500000
499,11665,11677,11,5,0.490180,0.500000,0.500000
581,11678,11679,5,3,0.500000,0.500000,0.500000
599,11680,11692,0,6,0.503040,0.509935,0.500000
599,11681,11693,1,6,0.450418,0.500000,0.585559
599,11682,11694,2,6,0.500000,0.500000,0.500000
599,11683,11695,3,6,0.504439,0.500000,0.540110
599,11684,11696,4,6,0.505760,0.500000,0.500000
599,11685,11697,5,6,0.532187,0.500000,0.500000
599,11686,11698,6,6,0.485181,0.500000,0.450841
599,11687,11699,7,6,0.508659,0.640103,0.500000
599,11688,11700,8,6,0.503600,0.593094,0.631473
599,11689,11701,9,6,0.500000,0.500000,0.500000
599,11690,11702,10,6,0.501200,0.500000,0.500000
599,11691,11703,11,6,0.490180,0.500000,0.500000
681,11704,11705,5,4,0.500000,0.500000,0.500000
699,11706,11718,0,7,0.504000,0.509935,0.500000
699,11707,11719,1,7,0.450418,0.500000,0.585559
699,11708,11720,2,7,0.500000,0.439770,0.500000
699,11709,11721,3,7,0.504439,0.500000,0.540110
699,11710,11722,4,7,0.505760,0.415526,0.500000
699,11711,11723,5,7,0.532187,0.500000,0.500000
699,11712,11724,6,7,0.485181,0.500000,0.450841
699,11713,11725,7,7,0.508659,0.640103,0.500000
699,11714,11726,8,7,0.440308,0.593094,0.631473
699,11715,11727,9,7,0.500000,0.500000,0.500000
699,11716,11728,10,7,0.501200,0.500000,0.500000
699,11717,11729,11,7,0.490180,0.624577,0.500000
781,11730,11731,5,5,0.500000,0.500000,0.500000
799,11732,11744,0,8,0.504000,0.509935,0.500000
799,11733,11745,1,8,0.450418,0.500000,0.585559
799,11734,11746,2,8,0.500000,0.500000,0.500000
799,11735,11747,3,8,0.504439,0.500000,0.540110
799,11736,11748,4,8,0.505760,0.415526,0.500000
799,11737,11749,5,8,0.533547,0.500000,0.500000
799,11738,11750,6,8,0.639718,0.506599,0.450841
799,11739,11751,7,8,0.508659,0.640103,0.500000
799,11740,11752,8,8,0.440308,0.593094,0.631473
799,11741,11753,9,8,0.398854,0.500000,0.500000
799,11742,11754,10,8,0.502424,0.500000,0.500000
799,11743,11755,11,8,0.490180,0.624577,0.671009
881,11756,11757,5,6,0.500000,0.500000,0.500000
899,11758,11770,0,9,0.504000,0.509935,0.500000
899,11759,11771,1,9,0.450418,0.500000,0.585559
899,11760,11772,2,9,0.500000,0.500000,0.500000
899,11761,11773,3,9,0.506598,0.500000,0.540110
899,11762,11774,4,9,0.505760,0.415526,0.541315
899,11763,11775,5,9,0.533547,0.500000,0.500000
899,11764,11776,6,9,0.578826,0.506599,0.450841
899,11765,11777,7,9,0.508659,0.640103,0.500000
899,11766,11778,8,9,0.443320,0.593094,0.631473
899,11767,11779,9,9,0.398854,0.500000,0.500000
899,11768,11780,10,9,0.502424,0.500000,0.500000
899,11769,11781,11,9,0.490180,0.624577,0.671009
981,11782,11783,5,7,0.502000,0.559128,0.500000
999,11784,11796,0,10,0.506658,0.509935,0.500000
999,11785,11797,1,10,0.529651,0.500000,0.585559
999,11786,11798,2,10,0.500000,0.500000,0.500000
999,11787,11799,3,10,0.506598,0.500000,0.540110
999,11788,11800,4,10,0.505760,0.415526,0.541315
999,11789,11801,5,10,0.533547,0.500000,0.500000
999,11790,11802,6,10,0.500000,0.500000,0.500000
999,11791,11803,7,10,0.508659,0.640103,0.594456
999,11792,11804,8,10,0.443320,0.593094,0.631473
999,11793,11805,9,10,0.400854,0.500000,0.500000
999,11794,11806,10,10,0.502424,0.500000,0.500000
999,11795,11807,11,10,0.490180,0.624577,0.760544
1081,11808,11809,5,8,0.502000,0.469827,0.500000
1099,11810,11822,0,11,0.506658,0.558830,0.500000
1099,11811,11823,1,11,0.529651,0.500000,0.585559
1099,11812,11824,2,11,0.500000,0.526392,0.418235
1099,11813,11825,3,11,0.597665,0.500000,0.540110
1099,11814,11826,4,11,0.505760,0.415526,0.541315
1099,11815,11827,5,11,0.536107,0.500000,0.500000
1099,11816,11828,6,11,0.500000,0.500000,0.500000
1099,11817,11829,7,11,0.508659,0.640103,0.570871
1099,11818,11830,8,11,0.287970,0.593094,0.631473
1099,11819,11831,9,11,0.400854,0.500000,0.500000
1099,11820,11832,10,11,0.502424,0.500000,0.500000
1099,11821,11833,11,11,0.490180,0.624577,0.760544
1181,11834,11835,5,9,0.502000,0.469827,0.500000
1199,11836,11848,0,12,0.507958,0.558830,0.439988
1199,11837,11849,1,12,0.495226,0.500000,0.585559
1199,11838,11850,2,12,0.500000,0.711583,0.418235
1199,11839,11851,3,12,0.597665,0.500000,0.540110
1199,11840,11852,4,12,0.505760,0.415526,0.541315
1199,11841,11853,5,12,0.489074,0.500000,0.500000
1199,11842,11854,6,12,0.500000,0.500000,0.500000
1199,11843,11855,7,12,0.508659,0.716620,0.570871
1199,11844,11856,8,12,0.287970,0.593094,0.631473
1199,11845,11857,9,12,0.257505,0.500000,0.500000
1199,11846,11858,10,12,0.502424,0.500000,0.500000
1199,11847,11859,11,12,0.435247,0.740580,0.760544
1281,11860,11861,5,10,0.502819,0.469827,0.500000
1299,11862,11874,0,13,0.507958,0.558830,0.439988
1299,11863,11875,1,13,0.495226,0.500000,0.585559
1299,11864,11876,2,13,0.500000,0.711583,0.418235
1299,11865,11877,3,13,0.597518,0.500000,0.540110
1299,11866,11878,4,13,0.500000,0.500000,0.500000
1299,11867,11879,5,13,0.489074,0.500000,0.500000
1299,11868,11880,6,13,0.500000,0.500000,0.500000
1299,11869,11881,7,13,0.511884,0.705182,0.570871
1299,11870,11882,8,13,0.287970,0.593094,0.631473
1299,11871,11883,9,13,0.257505,0.500000,0.500000
1299,11872,11884,10,13,0.503036,0.500000,0.500000
1299,11873,11885,11,13,0.435247,0.740580,0.760544
1381,11886,11887,5,11,0.502819,0.469827,0.500000
1399,11888,11900,0,14,0.507958,0.558830,0.439988
1399,11889,11901,1,14,0.495226,0.500000,0.585559
1399,11890,11902,2,14,0.500000,0.711583,0.418235
1399,11891,11903,3,14,0.599916,0.538627,0.540110
1399,11892,11904,4,14,0.500000,0.500000,0.500000
1399,11893,11905,5,14,0.489074,0.500000,0.500000
1399,11894,11906,6,14,0.500000,0.585055,0.500000
1399,11895,11907,7,14,0.511884,0.632389,0.570871
1399,11896,11908,8,14,0.266215,0.593094,0.631473
1399,11897,11909,9,14,0.257505,0.500000,0.486021
1399,11898,11910,10,14,0.503036,0.500000,0.500000
1399,11899,11911,11,14,0.435247,0.740580,0.760544
1481,11912,11913,5,12,0.502819,0.469827,0.587477
1499,11914,11926,0,15,0.507958,0.558830,0.439988
1499,11915,11927,1,15,0.495226,0.500000,0.585559
1499,11916,11928,2,15,0.356611,0.711583,0.418235
1499,11917,11929,3,15,0.604336,0.538627,0.540110
1499,11918,11930,4,15,0.500000,0.500000,0.460502
1499,11919,11931,5,15,0.489074,0.500000,0.552695
1499,11920,11932,6,15,0.500000,0.585055,0.500000
1499,11921,11933,7,15,0.511884,0.632389,0.570871
1499,11922,11934,8,15,0.266215,0.593094,0.631473
1499,11923,11935,9,15,0.257505,0.500000,0.486021
1499,11924,11936,10,15,0.503036,0.500000,0.500000
1499,11925,11937,11,15,0.435247,0.740580,0.760544
1581,11938,11939,5,13,0.502819,0.469827,0.587477
1599,11940,11952,0,16,0.507958,0.558830,0.439988
1599,11941,11953,1,16,0.495226,0.500000,0.585559
1599,11942,11954,2,16,0.356611,0.711583,0.424181
1599,11943,11955,3,16,0.604336,0.538627,0.540110
1599,11944,11956,4,16,0.500000,0.500000,0.460502
1599,11945,11957,5,16,0.461391,0.500000,0.552695
1599,11946,11958,6,16,0.500000,0.585055,0.500000
1599,11947,11959,7,16,0.511884,0.632389,0.570871
1599,11948,11960,8,16,0.266215,0.593094,0.631473
1599,11949,11961,9,16,0.257505,0.500000,0.486021
1599,11950,11962,10,16,0.503036,0.500000,0.509347
1599,11951,11963,11,16,0.435247,0.551304,0.760544
1681,11964,11965,5,14,0.502819,0.469827,0.587477
1699,11966,11978,0,17,0.507958,0.558830,0.439988
1699,11967,11979,1,17,0.539500,0.500000,0.585559
1699,11968,11980,2,17,0.356611,0.711583,0.424181
1699,11969,11981,3,17,0.604336,0.538627,0.540110
1699,11970,11982,4,17,0.500000,0.500000,0.460502
1699,11971,11983,5,17,0.461391,0.500000,0.552695
1699,11972,11984,6,17,0.500000,0.585055,0.500000
1699,11973,11985,7,17,0.514986,0.632389,0.403185
1699,11974,11986,8,17,0.266215,0.593094,0.631473
1699,11975,11987,9,17,0.257505,0.500000,0.486021
1699,11976,11988,10,17,0.503036,0.500000,0.509347
1699,11977,11989,11,17,0.435247,0.551304,0.760544
1781,11990,11991,5,15,0.504060,0.469827,0.587477
1799,11992,12004,0,18,0.507958,0.558830,0.439988
1799,11993,12005,1,18,0.500000,0.500000,0.500000
1799,11994,12006,2,18,0.356611,0.711583,0.424181
1799,11995,12007,3,18,0.604336,0.538627,0.540110
1799,11996,12008,4,18,0.500000,0.500000,0.460502
1799,11997,12009,5,18,0.461391,0.500000,0.552695
1799,11998,12010,6,18,0.500000,0.585055,0.500000
1799,11999,12011,7,18,0.514986,0.632389,0.403185
1799,12000,12012,8,18,0.266215,0.593094,0.631473
1799,12001,12013,9,18,0.257505,0.500000,0.556640
1799,12002,12014,10,18,0.503036,0.500000,0.465988
1799,12003,12015,11,18,0.435247,0.603090,0.760544
1881,12016,12017,5,16,0.504060,0.389407,0.587477
1899,12018,12030,0,19,0.507958,0.558830,0.439988
1899,12019,12031,1,19,0.500000,0.500000,0.500000
1899,12020,12032,2,19,0.356611,0.711583,0.405660
1899,12021,12033,3,19,0.604336,0.538627,0.540110
1899,12022,12034,4,19,0.500000,0.500000,0.460502
1899,12023,12035,5,19,0.461391,0.500000,0.552695
1899,12024,12036,6,19,0.500000,0.585055,0.500000
1899,12025,12037,7,19,0.514986,0.632389,0.502909
1899,12026,12038,8,19,0.266215,0.593094,0.631473
1899,12027,12039,9,19,0.257505,0.500000,0.556640
1899,12028,12040,10,19,0.503036,0.500000,0.465988
1899,12029,12041,11,19,0.435247,0.603090,0.760544
1981,12042,12043,5,17,0.500000,0.500000,0.500000
1999,12044,12056,0,20,0.507958,0.558830,0.439988
1999,12045,12057,1,20,0.585453,0.500000,0.500000
1999,12046,12058,2,20,0.356611,0.711583,0.405660
1999,12047,12059,3,20,0.608788,0.527680,0.540110
1999,12048,12060,4,20,0.501449,0.370656,0.460502
1999,12049,12061,5,20,0.461391,0.500000,0.552695
1999,12050,12062,6,20,0.500000,0.585055,0.500000
1999,12051,12063,7,20,0.514986,0.632389,0.502909
1999,12052,12064,8,20,0.266215,0.593094,0.655544
1999,12053,12065,9,20,0.257505,0.500000,0.556640
1999,12054,12066,10,20,0.503036,0.500000,0.465988
1999,12055,12067,11,20,0.435247,0.603090,0.760544
2081,12068,12069,5,18,0.500000,0.500000,0.500000
2099,12070,12082,0,21,0.507958,0.612468,0.439988
2099,12071,12083,1,21,0.587693,0.500000,0.398612
2099,12072,12084,2,21,0.356611,0.711583,0.405660
2099,12073,12085,3,21,0.608788,0.527680,0.540110
2099,12074,12086,4,21,0.501449,0.370656,0.460502
2099,12075,12087,5,21,0.461391,0.500000,0.552695
2099,12076,12088,6,21,0.500000,0.585055,0.500000
2099,12077,12089,7,21,0.514986,0.632389,0.502909
2099,12078,12090,8,21,0.266215,0.593094,0.655544
2099,12079,12091,9,21,0.257505,0.500000,0.556640
2099,12080,12092,10,21,0.506036,0.500000,0.465988
2099,12081,12093,11,21,0.435247,0.603090,0.760544
2181,12094,12095,5,19,0.500000,0.500000,0.500000
2199,12096,12108,0,22,0.507958,0.738084,0.439988
2199,12097,12109,1,22,0.587693,0.500000,0.398612
2199,12098,12110,2,22,0.356611,0.711583,0.405660
2199,12099,12111,3,22,0.608788,0.527680,0.604201
2199,12100,12112,4,22,0.501449,0.370656,0.460502
2199,12101,12113,5,22,0.461391,0.500000,0.613234
2199,12102,12114,6,22,0.500000,0.585055,0.500000
2199,12103,12115,7,22,0.514986,0.633350,0.502909
2199,12104,12116,8,22,0.266215,0.545027,0.655544
2199,12105,12117,9,22,0.257505,0.500000,0.556640
2199,12106,12118,10,22,0.506036,0.500000,0.465988
2199,12107,12119,11,22,0.435247,0.603090,0.760544
2281,12120,12121,5,20,0.500000,0.501592,0.500000
2299,12122,12134,0,23,0.635860,0.738084,0.439988
2299,12123,12135,1,23,0.500000,0.500000,0.500000
2299,12124,12136,2,23,0.356611,0.711583,0.405660
2299,12125,12137,3,23,0.500000,0.500000,0.500000
2299,12126,12138,4,23,0.501449,0.370656,0.460502
2299,12127,12139,5,23,0.461391,0.500000,0.613234
2299,12128,12140,6,23,0.500000,0.585055,0.500000
2299,12129,12141,7,23,0.514986,0.633350,0.457124
2299,12130,12142,8,23,0.266215,0.545027,0.655544
2299,12131,12143,9,23,0.257505,0.500000,0.556640
2299,12132,12144,10,23,0.506036,0.500000,0.465988
2299,12133,12145,11,23,0.435247,0.603090,0.901500
2381,12146,12147,5,21,0.500000,0.639648,0.500000
2399,12148,12160,0,24,0.611578,0.738084,0.439988
2399,12149,12161,1,24,0.500000,0.500000,0.500000
2399,12150,12162,2,24,0.356611,0.711583,0.405660
2399,12151,12163,3,24,0.500000,0.500000,0.500000
2399,12152,12164,4,24,0.501449,0.370656,0.460502
2399,12153,12165,5,24,0.461391,0.500000,0.613234
2399,12154,12166,6,24,0.448969,0.585055,0.500000
2399,12155,12167,7,24,0.514986,0.532262,0.457124
2399,12156,12168,8,24,0.266215,0.545027,0.655544
2399,12157,12169,9,24,0.257505,0.523717,0.556640
2399,12158,12170,10,24,0.506036,0.500000,0.465988
2399,12159,12171,11,24,0.435247,0.603090,0.901500
2481,12172,12173,5,22,0.500000,0.639648,0.500000
2499,12174,12186,0,25,0.611578,0.738084,0.439988
2499,12175,12187,1,25,0.500000,0.500000,0.500000
2499,12176,12188,2,25,0.356611,0.711583,0.405660
2499,12177,12189,3,25,0.500000,0.500000,0.500000
2499,12178,12190,4,25,0.417001,0.370656,0.460502
2499,12179,12191,5,25,0.461391,0.500000,0.613234
2499,12180,12192,6,25,0.448969,0.585055,0.592675
2499,12181,12193,7,25,0.514986,0.532262,0.561421
2499,12182,12194,8,25,0.166203,0.545027,0.655544
2499,12183,12195,9,25,0.257505,0.523717,0.556640
2499,12184,12196,10,25,0.506036,0.645980,0.465988
2499,12185,12197,11,25,0.435247,0.556645,0.901500
2581,12198,12199,5,23,0.500000,0.639648,0.500000
2599,12200,12212,0,26,0.661340,0.738084,0.439988
2599,12201,12213,1,26,0.500000,0.500000,0.500000
2599,12202,12214,2,26,0.356611,0.711583,0.405660
2599,12203,12215,3,26,0.500000,0.500000,0.500000
2599,12204,12216,4,26,0.417001,0.370656,0.460502
2599,12205,12217,5,26,0.440671,0.500000,0.792256
2599,12206,12218,6,26,0.448969,0.585055,0.592675
2599,12207,12219,7,26,0.493571,0.532262,0.561421
2599,12208,12220,8,26,0.166203,0.544016,0.655544
2599,12209,12221,9,26,0.257505,0.523717,0.556640
2599,12210,12222,10,26,0.506036,0.645980,0.448479
2599,12211,12223,11,26,0.435247,0.448651,0.979661
2681,12224,12225,5,24,0.500000,0.639648,0.500000
2699,12226,12238,0,27,0.691857,0.738084,0.395718
2699,12227,12239,1,27,0.500000,0.500000,0.494625
2699,12228,12240,2,27,0.356611,0.711583,0.405660
2699,12229,12241,3,27,0.500000,0.395637,0.500000
2699,12230,12242,4,27,0.417001,0.370656,0.460502
2699,12231,12243,5,27,0.318189,0.500000,0.792256
2699,12232,12244,6,27,0.448969,0.585055,0.592675
2699,12233,12245,7,27,0.493571,0.532262,0.561421
2699,12234,12246,8,27,0.166203,0.544016,0.655544
2699,12235,12247,9,27,0.257505,0.523717,0.556640
2699,12236,12248,10,27,0.506036,0.645980,0.448479
2699,12237,12249,11,27,0.435247,0.448651,0.979661
2781,12250,12251,5,25,0.500000,0.639648,0.500000
2799,12252,12264,0,28,0.658043,0.738084,0.395718
2799,12253,12265,1,28,0.500000,0.564210,0.467137
2799,12254,12266,2,28,0.356611,0.711583,0.405660
2799,12255,12267,3,28,0.500000,0.395637,0.500000
2799,12256,12268,4,28,0.417001,0.370656,0.460502
2799,12257,12269,5,28,0.318189,0.500000,0.792256
2799,12258,12270,6,28,0.448969,0.344854,0.592675
2799,12259,12271,7,28,0.493571,0.532262,0.561421
2799,12260,12272,8,28,0.166203,0.544016,0.655544
2799,12261,12273,9,28,0.257505,0.523717,0.556640
2799,12262,12274,10,28,0.506036,0.645980,0.448479
2799,12263,12275,11,28,0.435247,0.448651,0.979661
2881,12276,12277,5,26,0.500000,0.639648,0.470153
2899,12278,12290,0,29,0.658043,0.738084,0.395718
2899,12279,12291,1,29,0.500000,0.564210,0.296981
2899,12280,12292,2,29,0.356611,0.711583,0.405660
2899,12281,12293,3,29,0.500000,0.395637,0.500000
2899,12282,12294,4,29,0.417001,0.370656,0.416372
2899,12283,12295,5,29,0.318189,0.500000,0.792256
2899,12284,12296,6,29,0.453835,0.344854,0.592675
2899,12285,12297,7,29,0.493571,0.532262,0.561421
2899,12286,12298,8,29,0.166203,0.562432,0.655544
2899,12287,12299,9,29,0.348506,0.523717,0.556640
2899,12288,12300,10,29,0.506036,0.645980,0.448479
2899,12289,12301,11,29,0.435247,0.448651,0.979661
2981,12302,12303,5,27,0.500000,0.639648,0.470153
2999,12304,12316,0,30,0.658043,0.738084,0.395718
2999,12305,12317,1,30,0.500000,0.778577,0.296981
2999,12306,12318,2,30,0.356611,0.711583,0.405660
2999,12307,12319,3,30,0.500000,0.395637,0.500000
2999,12308,12320,4,30,0.417001,0.370656,0.416372
2999,12309,12321,5,30,0.318189,0.500000,0.792256
2999,12310,12322,6,30,0.500000,0.500000,0.500000
2999,12311,12323,7,30,0.493571,0.532262,0.561421
2999,12312,12324,8,30,0.166203,0.500518,0.655544
2999,12313,12325,9,30,0.348506,0.523717,0.556640
2999,12314,12326,10,30,0.506036,0.645980,0.448479
2999,12315,12327,11,30,0.435247,0.448651,0.979661
