tick,agent_id,agent_type,lineage_id,generation,cause
99,5633,child,0,1,hunger
99,5635,child,1,1,hunger
99,5637,child,2,1,hunger
99,5639,child,3,1,hunger
99,5641,child,4,1,hunger
99,5643,child,5,1,hunger
99,5645,child,6,1,hunger
99,5647,child,7,1,hunger
99,5649,child,8,1,hunger
99,5651,child,9,1,hunger
99,5653,child,10,1,hunger
99,5655,child,11,1,hunger
198,5650,mother,9,0,starvation
199,5668,child,0,2,hunger
199,5669,child,1,2,hunger
199,5670,child,2,2,hunger
199,5671,child,3,2,hunger
199,5672,child,4,2,hunger
199,5673,child,5,2,hunger
199,5674,child,6,2,hunger
199,5675,child,7,2,hunger
199,5676,child,8,2,hunger
199,5677,child,9,2,hunger
199,5678,child,10,2,hunger
199,5679,child,11,2,hunger
229,5642,mother,5,0,starvation
229,5656,mother,0,1,starvation
248,5640,mother,4,0,starvation
265,5666,mother,10,1,starvation
268,5646,mother,7,0,starvation
276,5680,mother,0,2,starvation
298,5664,mother,8,1,starvation
299,5663,mother,7,1,starvation
299,5692,child,0,3,hunger
299,5693,child,1,3,hunger
299,5694,child,2,3,hunger
299,5695,child,3,3,hunger
299,5696,child,4,3,hunger
299,5697,child,5,3,hunger
299,5698,child,6,3,hunger
299,5699,child,7,3,hunger
299,5700,child,8,3,hunger
299,5701,child,9,3,hunger
299,5702,child,10,3,hunger
299,5703,child,11,3,hunger
308,5658,mother,2,1,starvation
310,5687,mother,7,2,starvation
325,5667,mother,11,1,starvation
332,5681,mother,1,2,starvation
339,5665,mother,9,1,starvation
344,5682,mother,2,2,starvation
348,5689,mother,9,2,starvation
364,5690,mother,10,2,starvation
371,5662,mother,6,1,starvation
388,5659,mother,3,1,starvation
396,5711,mother,7,3,starvation
399,5716,child,0,4,hunger
399,5717,child,1,4,hunger
399,5718,child,2,4,hunger
399,5719,child,3,4,hunger
399,5720,child,4,4,hunger
399,5721,child,5,4,hunger
399,5722,child,6,4,hunger
399,5723,child,7,4,hunger
399,5724,child,8,4,hunger
399,5725,child,9,4,hunger
399,5726,child,10,4,hunger
399,5727,child,11,4,hunger
412,5708,mother,4,3,starvation
421,5657,mother,1,1,starvation
451,5688,mother,8,2,starvation
453,5644,mother,6,0,starvation
472,5705,mother,1,3,starvation
473,5685,mother,5,2,starvation
476,5706,mother,2,3,starvation
478,5686,mother,6,2,starvation
482,5648,mother,8,0,starvation
484,5632,mother,0,0,starvation
489,5652,mother,10,0,starvation
490,5707,mother,3,3,starvation
491,5709,mother,5,3,starvation
493,5634,mother,1,0,starvation
496,5660,mother,4,1,starvation
499,5704,mother,0,3,starvation
499,5740,child,0,5,hunger
499,5741,child,1,5,hunger
499,5742,child,2,5,hunger
499,5743,child,3,5,hunger
499,5744,child,4,5,hunger
499,5745,child,5,5,hunger
499,5746,child,6,5,hunger
499,5747,child,7,5,hunger
499,5748,child,8,5,hunger
499,5749,child,9,5,hunger
499,5750,child,10,5,hunger
499,5751,child,11,5,hunger
501,5714,mother,10,3,starvation
502,5728,mother,0,4,starvation
506,5654,mother,11,0,starvation
507,5733,mother,5,4,starvation
513,5713,mother,9,3,starvation
519,5636,mother,2,0,starvation
521,5638,mother,3,0,starvation
523,5739,mother,11,4,starvation
523,5752,child,11,3,hunger
524,5710,mother,6,3,starvation
526,5734,mother,6,4,starvation
530,5737,mother,9,4,starvation
533,5753,child,9,4,hunger
535,5715,mother,11,3,starvation
536,5732,mother,4,4,starvation
545,5730,mother,2,4,starvation
548,5661,mother,5,1,starvation
554,5729,mother,1,4,starvation
563,5684,mother,4,2,starvation
566,5731,mother,3,4,starvation
