tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance
4,226,0.9788,care,189,0.0,0.3325,6
4,188,0.9788,care,183,0.0,0.2075,3
4,222,0.9888,care,181,0.0,0.0785,2
4,238,0.9788,care,187,0.0,0.1915,3
4,212,0.9938,care,189,0.0,0.3325,3
4,200,0.9538,care,221,0.0,0.3325,6
4,198,0.9538,care,211,0.0,0.27,1
4,202,0.9888,care,183,0.0,0.2075,4
4,218,0.9888,care,237,0.0,0.3325,7
4,192,0.9538,care,209,0.0,0.2075,3
4,216,0.9788,care,211,0.0,0.27,5
4,210,0.9538,care,237,0.0,0.3325,2
4,206,0.9838,care,189,0.0,0.3325,5
4,194,0.9888,care,189,0.0,0.3325,7
4,236,0.9788,care,237,0.5,0.3325,5
4,232,0.9538,care,211,0.0,0.27,7
4,220,0.9788,care,187,0.0,0.1915,2
4,182,0.9788,care,181,0.0,0.0785,2
4,186,0.9288,care,221,0.0,0.3325,6
4,214,0.9888,care,189,0.0,0.3325,5
4,230,0.9788,care,189,0.0,0.3325,6
5,208,0.97332,care,209,0.5,0.149,2
5,196,0.9483199999999999,care,197,0.5,0.3365,5
5,230,0.97332,care,189,0.0,0.3365,5
5,220,0.97332,care,221,0.5,0.399,6
5,188,0.97832,care,189,0.5,0.3365,5
5,232,0.9483199999999999,care,211,0.0,0.3165,6
5,202,0.98832,care,221,0.0,0.399,8
5,206,0.97832,care,189,0.0,0.3365,4
5,238,0.97332,care,221,0.0,0.399,7
5,186,0.9233199999999999,care,221,0.0,0.399,5
5,198,0.9233199999999999,care,211,0.0,0.3165,1
5,222,0.98832,care,189,0.0,0.3365,8
5,192,0.9483199999999999,care,209,0.0,0.149,2
5,194,0.98332,care,189,0.0,0.3365,6
5,214,0.98332,care,189,0.0,0.3365,4
5,218,0.98332,care,237,0.0,0.274,6
5,184,0.9483199999999999,care,197,0.0,0.3365,5
5,226,0.97332,care,189,0.0,0.3365,6
5,234,0.99332,care,197,0.0,0.3365,2
5,190,0.97332,care,209,0.0,0.149,6
5,228,0.97332,care,229,0.5,0.2115,3
5,212,0.98832,care,189,0.0,0.3365,2
5,210,0.9483199999999999,care,237,0.0,0.274,1
5,216,0.97332,care,211,0.0,0.3165,4
5,236,0.97332,care,237,0.5,0.274,4
5,200,0.9483199999999999,care,221,0.0,0.399,5
6,204,0.9527599999999999,care,225,0.0,0.153,3
6,206,0.97276,care,189,0.0,0.278,3
6,198,0.8927599999999999,care,217,0.0,0.3405,7
6,232,0.9427599999999999,care,187,0.0,0.3245,3
6,236,0.96776,care,237,0.5,0.1915,3
6,210,0.9177599999999999,care,217,0.0,0.3405,5
6,220,0.96776,care,221,0.5,0.3405,5
6,238,0.96776,care,221,0.0,0.3405,6
6,194,0.97776,care,189,0.0,0.278,5
6,222,0.98276,care,189,0.0,0.278,7
6,226,0.96776,care,189,0.0,0.278,6
6,190,0.96776,care,209,0.0,0.0905,5
6,224,0.9427599999999999,care,225,0.5,0.153,2
6,182,0.96776,care,183,0.5,0.2155,3
6,230,0.96776,care,189,0.0,0.278,4
6,202,0.98276,care,221,0.0,0.3405,7
6,188,0.97276,care,189,0.5,0.278,4
6,212,0.98276,care,189,0.0,0.278,1
6,214,0.97776,care,221,0.0,0.3405,7
6,234,0.98776,care,197,0.0,0.278,1
6,186,0.9177599999999999,care,221,0.0,0.3405,4
6,216,0.96776,care,211,0.0,0.3165,3
6,208,0.96776,care,185,0.0,0.3245,8
6,180,0.95776,care,183,0.0,0.2155,3
6,184,0.9427599999999999,care,197,0.0,0.278,4
6,228,0.96776,care,229,0.5,0.153,2
6,200,0.9427599999999999,care,221,0.0,0.3405,4
7,230,0.96212,care,227,0.0,0.34450000000000003,6
7,202,0.97712,care,221,0.0,0.28200000000000003,6
7,204,0.94712,care,225,0.0,0.0945,2
7,186,0.9121199999999999,care,221,0.0,0.28200000000000003,3
7,208,0.96212,care,185,0.0,0.391,7
7,194,0.97712,care,189,0.0,0.1915,5
7,216,0.96212,care,217,0.5,0.40700000000000003,6
7,184,0.93712,care,197,0.0,0.1915,3
7,190,0.96212,care,209,0.0,0.157,4
7,206,0.96712,care,227,0.0,0.34450000000000003,4
7,180,0.95212,care,183,0.0,0.157,2
7,234,0.95712,care,185,0.0,0.391,8
7,220,0.96212,care,221,0.5,0.28200000000000003,4
7,222,0.97712,care,189,0.0,0.1915,6
7,236,0.96212,care,217,0.0,0.40700000000000003,8
7,182,0.96212,care,183,0.5,0.157,2
7,228,0.96212,care,229,0.5,0.0945,1
7,210,0.9121199999999999,care,217,0.0,0.40700000000000003,4
7,212,0.95212,care,227,0.0,0.34450000000000003,6
7,232,0.93712,care,187,0.0,0.391,2
7,238,0.96212,care,221,0.0,0.28200000000000003,5
7,200,0.93712,care,187,0.0,0.391,4
7,224,0.93712,care,185,0.0,0.391,4
7,218,0.97212,care,211,0.0,0.383,8
7,198,0.8871199999999999,care,217,0.0,0.40700000000000003,6
7,188,0.96712,care,189,0.5,0.1915,3
7,214,0.97212,care,221,0.0,0.28200000000000003,6
7,226,0.96712,care,227,0.5,0.34450000000000003,5
8,210,0.9063999999999999,care,217,0.0,0.34850000000000003,3
8,218,0.9663999999999999,care,211,0.0,0.4495,7
8,196,0.9313999999999999,care,197,0.5,0.133,2
8,224,0.9313999999999999,care,185,0.0,0.4575,3
8,212,0.9463999999999999,care,227,0.0,0.28600000000000003,5
8,200,0.9313999999999999,care,187,0.0,0.4575,3
8,190,0.9563999999999999,care,185,0.0,0.4575,5
8,238,0.9563999999999999,care,221,0.0,0.2235,4
8,220,0.9563999999999999,care,221,0.5,0.2235,3
8,204,0.9413999999999999,care,185,0.0,0.4575,4
8,184,0.9313999999999999,care,197,0.0,0.133,2
8,216,0.9563999999999999,care,217,0.5,0.34850000000000003,5
8,208,0.9563999999999999,care,185,0.0,0.4575,6
8,232,0.9313999999999999,care,187,0.0,0.4575,1
8,234,0.9513999999999999,care,185,0.0,0.4575,8
8,222,0.9713999999999999,care,189,0.0,0.133,5
8,186,0.9063999999999999,care,221,0.0,0.2235,2
8,194,0.9713999999999999,care,189,0.0,0.133,4
8,192,0.9313999999999999,care,197,0.0,0.133,4
8,226,0.9613999999999999,care,227,0.5,0.28600000000000003,4
8,230,0.9563999999999999,care,227,0.0,0.28600000000000003,5
8,198,0.8813999999999999,care,217,0.0,0.34850000000000003,5
8,236,0.9563999999999999,care,217,0.0,0.34850000000000003,7
8,206,0.9613999999999999,care,227,0.0,0.28600000000000003,3
8,188,0.9613999999999999,care,189,0.5,0.133,2
9,188,0.9555999999999999,care,231,0.0,0.35250000000000004,5
9,186,0.9005999999999998,care,187,0.5,0.4415,7
9,236,0.9505999999999999,care,217,0.0,0.29000000000000004,6
9,230,0.9555999999999999,care,227,0.0,0.2275,5
9,212,0.9405999999999999,care,227,0.0,0.2275,4
9,226,0.9555999999999999,care,227,0.5,0.2275,3
9,224,0.9255999999999999,care,185,0.0,0.524,2
9,234,0.9455999999999999,care,185,0.0,0.524,7
9,218,0.9605999999999999,care,211,0.0,0.516,6
9,206,0.9555999999999999,care,227,0.0,0.2275,2
9,220,0.9505999999999999,care,221,0.5,0.165,2
9,210,0.9005999999999998,care,211,0.5,0.516,8
9,216,0.9505999999999999,care,217,0.5,0.29000000000000004,4
9,190,0.9505999999999999,care,185,0.0,0.524,4
9,214,0.9605999999999999,care,187,0.0,0.4415,8
9,184,0.9255999999999999,care,197,0.0,0.0745,1
9,196,0.9255999999999999,care,197,0.5,0.0745,1
9,200,0.9255999999999999,care,187,0.0,0.4415,2
9,204,0.9355999999999999,care,185,0.0,0.524,3
9,238,0.9505999999999999,care,187,0.0,0.4415,4
9,222,0.9705999999999999,care,189,0.0,0.0745,5
9,194,0.9655999999999999,care,231,0.0,0.35250000000000004,4
9,198,0.8805999999999998,care,217,0.0,0.29000000000000004,5
9,208,0.9505999999999999,care,185,0.0,0.524,5
9,232,0.9005999999999998,care,211,0.0,0.516,7
9,192,0.9255999999999999,care,197,0.0,0.0745,3
10,208,0.9447199999999999,care,185,0.0,0.528,4
10,220,0.9447199999999999,care,187,0.0,0.383,6
10,238,0.9447199999999999,care,187,0.0,0.383,3
