tick,mother_id,child_id,r,benefit,cost,success,mother_lineage_id,child_lineage_id,is_own_child
0,12,13,0.5,0.008,0.03,True,6,6,True
0,18,19,0.5,0.008,0.03,True,9,9,True
0,16,13,0.0,0.0,0.03,True,8,6,False
0,6,7,0.5,0.008,0.03,True,3,3,True
0,0,1,0.5,0.008,0.03,True,0,0,True
0,4,5,0.5,0.008,0.03,True,2,2,True
1,16,17,0.5,0.016,0.03,True,8,8,True
1,4,25,0.0,0.016,0.03,True,2,12,False
1,24,5,0.0,0.008,0.034999999999999996,True,12,2,False
3,20,7,0.0,0.024,0.045,True,10,3,False
3,12,17,0.0,0.016,0.04,True,6,8,False
3,38,13,0.0,0.024,0.045,True,19,6,False
3,44,5,0.0,0.016,0.045,True,22,2,False
4,36,19,0.0,0.032,0.05,True,18,9,False
4,18,31,0.0,0.04,0.045,True,9,15,False
5,36,19,0.0,0.008,0.03,True,18,9,False
5,10,11,0.5,0.048,0.055,True,5,5,True
5,32,1,0.0,0.04,0.055,True,16,0,False
6,30,31,0.5,0.016,0.06,True,15,15,True
6,14,43,0.0,0.056,0.06,True,7,21,False
6,42,43,0.5,0.0,0.06,True,21,21,True
6,44,45,0.5,0.056,0.04,True,22,22,True
7,24,25,0.5,0.048,0.055,True,12,12,True
7,28,29,0.5,0.064,0.065,True,14,14,True
7,38,29,0.0,0.0,0.045,True,19,14,False
8,48,1,0.0,0.024,0.07,True,24,0,False
9,34,23,0.0,0.08000000000000002,0.055,True,17,11,False
10,26,23,0.0,0.008,0.07999999999999999,True,13,11,False
10,8,23,0.0,0.0,0.07,True,4,11,False
11,46,23,0.0,0.008,0.08499999999999999,True,23,11,False
11,26,23,0.0,0.0,0.03,True,13,11,False
11,6,21,0.0,0.09600000000000003,0.07999999999999999,True,3,10,False
11,12,39,0.0,0.09600000000000003,0.065,True,6,19,False
12,42,23,0.0,0.008,0.055,True,21,11,False
12,44,11,0.0,0.056,0.034999999999999996,True,22,5,False
12,6,21,0.0,0.008,0.03,True,3,10,False
12,2,23,0.0,0.0,0.09,True,1,11,False
13,30,37,0.0,0.11200000000000004,0.06,True,15,18,False
13,6,21,0.0,0.008,0.03,True,3,10,False
13,14,23,0.0,0.008,0.06,True,7,11,False
14,6,21,0.0,0.008,0.03,True,3,10,False
14,4,11,0.0,0.016,0.09,True,2,5,False
14,10,11,0.5,0.0,0.07,True,5,5,True
14,40,23,0.0,0.008,0.09999999999999999,True,20,11,False
15,6,21,0.0,0.008,0.03,True,3,10,False
15,32,9,0.0,0.12800000000000006,0.075,True,16,4,False
16,12,17,0.0,0.10400000000000004,0.05,True,6,8,False
16,6,21,0.0,0.008,0.03,True,3,10,False
17,28,17,0.0,0.008,0.075,True,14,8,False
17,2,9,0.0,0.016,0.05,True,1,4,False
17,34,9,0.0,0.0,0.05,True,17,4,False
19,20,9,0.0,0.016,0.105,True,10,4,False
20,32,15,0.0,0.1680000000000001,0.05,True,16,7,False
21,16,29,0.0,0.11200000000000004,0.125,True,8,14,False
21,48,1,0.0,0.10400000000000004,0.09,True,24,0,False
22,48,1,0.0,0.008,0.03,True,24,0,False
22,30,37,0.0,0.07200000000000001,0.07,True,15,18,False
23,4,45,0.0,0.13600000000000007,0.07,True,2,22,False
23,42,23,0.0,0.07200000000000001,0.07999999999999999,True,21,11,False
23,0,23,0.0,0.0,0.14,True,0,11,False
23,48,1,0.0,0.008,0.03,True,24,0,False
24,4,45,0.0,0.008,0.03,True,2,22,False
24,10,45,0.0,0.0,0.075,True,5,22,False
24,48,1,0.0,0.008,0.03,True,24,0,False
25,6,21,0.0,0.07200000000000001,0.045,True,3,10,False
25,12,17,0.0,0.064,0.07,True,6,8,False
25,4,45,0.0,0.008,0.03,True,2,22,False
25,26,1,0.0,0.008,0.09499999999999999,True,13,0,False
25,10,45,0.0,0.0,0.03,True,5,22,False
26,10,45,0.0,0.008,0.03,True,5,22,False
26,4,45,0.0,0.0,0.03,True,2,22,False
26,6,21,0.0,0.008,0.03,True,3,10,False
