tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,14415,0.9788,care,14408,0.0,0.129,2,14394;14408;14416;14418,0.0000;0.0000;0.5000;0.0000,0.1290;0.1290;0.3325;0.2700,5;2;5;7
4,14427,0.9788,care,14382,0.0,0.262,4,14382;14384;14396;14406;14410;14426;14428,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.2620;0.1330;0.2700;0.3325;0.3325;0.2075;0.2700,4;7;6;3;7;5;4
4,14403,0.9538,care,14422,0.0,0.3325,3,14404;14422,0.5000;0.0000,0.2035;0.3325,3;3
4,14385,0.9538,care,14406,0.0,0.3325,4,14384;14386;14388;14396;14406;14428,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000,0.1330;0.2075;0.1450;0.2700;0.3325;0.2700,1;3;5;6;4;3
4,14431,0.9788,care,14382,0.0,0.262,2,14382;14396;14400;14402;14406;14410;14412;14424;14426;14432,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.2620;0.2700;0.2075;0.2700;0.3325;0.3325;0.1450;0.3325;0.2075;0.2700,2;6;4;6;8;5;8;5;1;4
4,14387,0.9788,care,14406,0.0,0.3325,5,14384;14386;14388;14406;14428;14434,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.1330;0.2075;0.1450;0.3325;0.2700;0.3325,4;3;2;5;4;6
4,14435,0.9788,care,14390,0.0,0.1915,3,14390;14392;14398;14400;14402;14412;14414;14424;14430;14432;14436,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.1915;0.1450;0.2075;0.2075;0.2700;0.1450;0.1995;0.3325;0.2700;0.2700;0.3325,3;3;2;8;6;4;5;7;8;8;5
4,14383,0.9537967765585331,care,14406,0.0,0.3325,4,14384;14386;14388;14396;14406;14410;14428,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1330;0.2075;0.1450;0.2700;0.3325;0.3325;0.2700,2;5;7;4;4;8;3
4,14417,0.9788,care,14416,0.0,0.3325,7,14394;14408;14416;14418;14420;14430,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.1290;0.1290;0.3325;0.2700;0.2075;0.2700,6;4;7;4;6;8
4,14391,0.9538,care,14418,0.0,0.27,7,14390;14392;14398;14400;14402;14414;14418;14420;14424;14430;14432,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1915;0.1450;0.2075;0.2075;0.2700;0.1995;0.2700;0.2075;0.3325;0.2700;0.2700,2;2;3;7;7;1;7;5;7;3;6
4,14429,0.9538,care,14424,0.0,0.3325,6,14390;14392;14398;14400;14402;14412;14414;14418;14420;14424;14430;14432,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.1915;0.1450;0.2075;0.2075;0.2700;0.1450;0.1995;0.2700;0.2075;0.3325;0.2700;0.2700,1;2;3;6;6;8;2;8;6;6;4;5
4,14413,0.9538,care,14418,0.0,0.27,6,14390;14392;14398;14400;14402;14414;14418;14420;14424;14426;14430;14432,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1915;0.1450;0.2075;0.2075;0.2700;0.1995;0.2700;0.2075;0.3325;0.2075;0.2700;0.2700,3;3;4;8;8;3;6;5;8;8;3;7
4,14401,0.9788,care,14382,0.0,0.262,4,14382;14390;14392;14400;14402;14410;14412;14414;14424;14426;14430;14432,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.2620;0.1915;0.1450;0.2075;0.2700;0.3325;0.1450;0.1995;0.3325;0.2075;0.2700;0.2700,4;7;8;4;4;5;6;8;4;3;8;3
4,14411,0.9788,care,14424,0.0,0.3325,3,14390;14392;14398;14400;14402;14412;14414;14424;14426;14432;14436,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1915;0.1450;0.2075;0.2075;0.2700;0.1450;0.1995;0.3325;0.2075;0.2700;0.3325,5;5;4;4;2;2;7;3;8;4;4
4,14397,0.9538,care,14424,0.0,0.3325,4,14390;14392;14398;14400;14402;14412;14414;14420;14424;14430;14432;14436,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1915;0.1450;0.2075;0.2075;0.2700;0.1450;0.1995;0.2075;0.3325;0.2700;0.2700;0.3325,1;2;3;5;4;6;3;8;4;6;5;7
