tick,mother_id,child_id,r,benefit,cost,success,mother_lineage_id,child_lineage_id,is_own_child
0,14403,14404,0.5,0.008,0.03,True,11,11,True
0,14393,14394,0.5,0.008,0.03,True,6,6,True
0,14381,14382,0.5,0.008,0.03,True,0,0,True
0,14389,14390,0.5,0.008,0.03,True,4,4,True
0,14383,14384,0.5,0.008,0.03,True,1,1,True
1,14397,14390,0.0,0.008,0.034999999999999996,True,8,4,False
1,14425,14382,0.0,0.008,0.034999999999999996,True,22,0,False
1,14391,14390,0.0,0.0,0.034999999999999996,True,5,4,False
1,14389,14414,0.0,0.016,0.03,True,4,16,False
1,14413,14390,0.0,0.0,0.034999999999999996,True,16,4,False
2,14385,14384,0.0,0.016,0.04,True,2,1,False
3,14393,14408,0.0,0.032,0.04,True,6,13,False
3,14407,14394,0.0,0.024,0.045,True,13,6,False
3,14429,14390,0.0,0.016,0.045,True,24,4,False
4,14407,14394,0.0,0.008,0.03,True,13,6,False
5,14407,14394,0.0,0.008,0.03,True,13,6,False
6,14403,14422,0.0,0.056,0.055,True,11,20,False
6,14407,14394,0.0,0.008,0.03,True,13,6,False
6,14399,14410,0.0,0.056,0.06,True,9,14,False
6,14389,14430,0.0,0.056,0.05,True,4,24,False
6,14411,14424,0.0,0.056,0.06,True,15,21,False
7,14383,14406,0.0,0.064,0.06,True,1,12,False
7,14407,14394,0.0,0.008,0.03,True,13,6,False
8,14425,14406,0.0,0.008,0.06,True,22,12,False
8,14421,14422,0.5,0.016,0.07,True,20,20,True
8,14407,14394,0.0,0.008,0.03,True,13,6,False
8,14397,14432,0.0,0.07200000000000001,0.06,True,8,25,False
9,14429,14432,0.0,0.008,0.055,True,24,25,False
9,14413,14430,0.0,0.024,0.065,True,16,24,False
9,14397,14424,0.0,0.024,0.03,True,8,21,False
10,14411,14432,0.0,0.008,0.045,True,15,25,False
10,14413,14430,0.0,0.008,0.03,True,16,24,False
10,14397,14400,0.0,0.08800000000000002,0.03,True,8,9,False
10,14401,14432,0.0,0.0,0.07999999999999999,True,10,25,False
11,14397,14424,0.0,0.016,0.03,True,8,21,False
11,14419,14430,0.0,0.008,0.08499999999999999,True,19,24,False
11,14413,14430,0.0,0.0,0.03,True,16,24,False
11,14403,14404,0.5,0.08800000000000002,0.05,True,11,11,True
12,14393,14408,0.0,0.07200000000000001,0.07,True,6,13,False
12,14419,14430,0.0,0.008,0.03,True,19,24,False
12,14397,14424,0.0,0.008,0.03,True,8,21,False
12,14413,14430,0.0,0.0,0.03,True,16,24,False
12,14429,14400,0.0,0.016,0.04,True,24,9,False
12,14411,14424,0.0,0.0,0.034999999999999996,True,15,21,False
13,14419,14430,0.0,0.008,0.03,True,19,24,False
13,14413,14430,0.0,0.0,0.03,True,16,24,False
14,14419,14430,0.0,0.008,0.03,True,19,24,False
14,14413,14430,0.0,0.0,0.03,True,16,24,False
14,14417,14430,0.0,0.0,0.09999999999999999,True,18,24,False
14,14423,14426,0.0,0.12000000000000005,0.09999999999999999,True,21,22,False
14,14401,14424,0.0,0.016,0.045,True,10,21,False
15,14421,14422,0.5,0.056,0.06,True,20,20,True
15,14423,14426,0.0,0.008,0.03,True,21,22,False
15,14419,14430,0.0,0.008,0.03,True,19,24,False
15,14387,14386,0.0,0.12800000000000006,0.105,True,3,2,False
15,14429,14424,0.0,0.008,0.04,True,24,21,False
15,14413,14430,0.0,0.0,0.03,True,16,24,False
15,14417,14430,0.0,0.0,0.03,True,18,24,False
16,14405,14426,0.0,0.008,0.11,True,12,22,False
16,14417,14430,0.0,0.008,0.03,True,18,24,False
16,14423,14426,0.0,0.0,0.03,True,21,22,False
16,14387,14386,0.0,0.008,0.03,True,3,2,False
16,14419,14430,0.0,0.0,0.03,True,19,24,False
16,14413,14430,0.0,0.0,0.03,True,16,24,False
17,14413,14430,0.0,0.008,0.03,True,16,24,False
18,14415,14430,0.0,0.008,0.12000000000000001,True,17,24,False
18,14399,14426,0.0,0.016,0.08499999999999999,True,9,22,False
18,14409,14426,0.0,0.0,0.12000000000000001,True,14,22,False
20,14433,14428,0.0,0.1680000000000001,0.13,True,26,23,False
20,14435,14392,0.0,0.1680000000000001,0.13,True,27,5,False
20,14421,14404,0.0,0.07200000000000001,0.05,True,20,11,False
20,14393,14416,0.0,0.1680000000000001,0.065,True,6,17,False
21,14425,14386,0.0,0.04,0.09,True,22,2,False
22,14429,14424,0.0,0.056,0.06,True,24,21,False
22,14413,14392,0.0,0.016,0.05,True,16,5,False
23,14383,14386,0.0,0.016,0.105,True,1,2,False
24,14391,14424,0.0,0.016,0.14,True,5,21,False
24,14431,14424,0.0,0.0,0.15000000000000002,True,25,21,False
24,14411,14424,0.0,0.0,0.08499999999999999,True,15,21,False
