tick,agent_id,agent_type,lineage_id,generation,cause
85,3952,mother,7,0,starvation
85,3964,mother,13,0,starvation
88,3954,mother,8,0,starvation
99,3992,mother,27,0,starvation
99,3939,child,0,1,hunger
99,3941,child,1,1,hunger
99,3943,child,2,1,hunger
99,3945,child,3,1,hunger
99,3947,child,4,1,hunger
99,3949,child,5,1,hunger
99,3951,child,6,1,hunger
99,3953,child,7,1,hunger
99,3955,child,8,1,hunger
99,3957,child,9,1,hunger
99,3959,child,10,1,hunger
99,3961,child,11,1,hunger
99,3963,child,12,1,hunger
99,3965,child,13,1,hunger
99,3967,child,14,1,hunger
99,3969,child,15,1,hunger
99,3971,child,16,1,hunger
99,3973,child,17,1,hunger
99,3975,child,18,1,hunger
99,3977,child,19,1,hunger
99,3979,child,20,1,hunger
99,3981,child,21,1,hunger
99,3983,child,22,1,hunger
99,3985,child,23,1,hunger
99,3987,child,24,1,hunger
99,3989,child,25,1,hunger
99,3991,child,26,1,hunger
99,3993,child,27,1,hunger
99,3995,child,28,1,hunger
99,3997,child,29,1,hunger
99,3999,child,30,1,hunger
99,4001,child,31,1,hunger
99,4003,child,32,1,hunger
99,4005,child,33,1,hunger
100,3994,mother,28,0,starvation
111,3942,mother,2,0,starvation
126,3958,mother,10,0,starvation
134,3998,mother,30,0,starvation
143,3948,mother,5,0,starvation
145,3988,mother,25,0,starvation
151,3976,mother,19,0,starvation
155,3970,mother,16,0,starvation
161,3950,mother,6,0,starvation
161,3990,mother,26,0,starvation
161,3996,mother,29,0,starvation
181,3956,mother,9,0,starvation
186,3974,mother,18,0,starvation
203,3946,mother,4,0,starvation
206,3938,mother,0,0,starvation
206,3984,mother,23,0,starvation
218,3940,mother,1,0,starvation
222,3962,mother,12,0,starvation
229,3960,mother,11,0,starvation
256,4036,mother,30,1,starvation
258,4029,mother,23,1,starvation
259,4009,mother,3,1,starvation
261,4011,mother,5,1,starvation
261,4012,mother,6,1,starvation
261,4028,mother,22,1,starvation
261,4031,mother,25,1,starvation
261,4032,mother,26,1,starvation
262,4039,mother,33,1,starvation
264,4034,mother,28,1,starvation
265,4004,mother,33,0,starvation
266,4030,mother,24,1,starvation
272,4014,mother,8,1,starvation
274,4010,mother,4,1,starvation
279,4035,mother,29,1,starvation
279,4038,mother,32,1,starvation
283,4008,mother,2,1,starvation
286,4013,mother,7,1,starvation
286,4020,mother,14,1,starvation
287,4016,mother,10,1,starvation
289,4022,mother,16,1,starvation
291,4026,mother,20,1,starvation
293,3978,mother,20,0,starvation
293,4019,mother,13,1,starvation
294,4027,mother,21,1,starvation
303,4006,mother,0,1,starvation
312,3980,mother,21,0,starvation
312,4017,mother,11,1,starvation
314,4007,mother,1,1,starvation
331,3982,mother,22,0,starvation
339,4018,mother,12,1,starvation
346,4002,mother,32,0,starvation
347,3972,mother,17,0,starvation
350,4033,mother,27,1,starvation
353,4025,mother,19,1,starvation
356,3986,mother,24,0,starvation
357,4024,mother,18,1,starvation
365,3944,mother,3,0,starvation
373,3966,mother,14,0,starvation
377,4015,mother,9,1,starvation
379,3968,mother,15,0,starvation
408,4037,mother,31,1,starvation
415,4021,mother,15,1,starvation
423,4023,mother,17,1,starvation
442,4000,mother,31,0,starvation
