tick,agent_id,agent_type,lineage_id,generation,cause
99,8386,child,0,1,hunger
99,8388,child,1,1,hunger
99,8390,child,2,1,hunger
99,8392,child,3,1,hunger
99,8394,child,4,1,hunger
99,8396,child,5,1,hunger
99,8398,child,6,1,hunger
99,8400,child,7,1,hunger
99,8402,child,8,1,hunger
99,8404,child,9,1,hunger
99,8406,child,10,1,hunger
99,8408,child,11,1,hunger
197,8389,mother,2,0,starvation
199,8421,child,0,2,hunger
199,8422,child,1,2,hunger
199,8423,child,2,2,hunger
199,8424,child,3,2,hunger
199,8425,child,4,2,hunger
199,8426,child,5,2,hunger
199,8427,child,6,2,hunger
199,8428,child,7,2,hunger
199,8429,child,8,2,hunger
199,8430,child,9,2,hunger
199,8431,child,10,2,hunger
199,8432,child,11,2,hunger
201,8407,mother,11,0,starvation
206,8391,mother,3,0,starvation
210,8401,mother,8,0,starvation
211,8414,mother,5,1,starvation
213,8399,mother,7,0,starvation
214,8419,mother,10,1,starvation
260,8387,mother,1,0,starvation
260,8417,mother,8,1,starvation
265,8397,mother,6,0,starvation
268,8405,mother,10,0,starvation
284,8403,mother,9,0,starvation
294,8393,mother,4,0,starvation
299,8445,child,0,3,hunger
299,8446,child,1,3,hunger
299,8447,child,2,3,hunger
299,8448,child,3,3,hunger
299,8449,child,4,3,hunger
299,8450,child,5,3,hunger
299,8451,child,6,3,hunger
299,8452,child,7,3,hunger
299,8453,child,8,3,hunger
299,8454,child,9,3,hunger
299,8455,child,10,3,hunger
299,8456,child,11,3,hunger
307,8441,mother,8,2,starvation
310,8442,mother,9,2,starvation
335,8457,child,11,2,hunger
336,8385,mother,0,0,starvation
344,8395,mother,5,0,starvation
345,8443,mother,10,2,starvation
356,8437,mother,4,2,starvation
362,8434,mother,1,2,starvation
376,8439,mother,6,2,starvation
384,8418,mother,9,1,starvation
392,8413,mother,4,1,starvation
393,8411,mother,2,1,starvation
399,8470,child,0,4,hunger
399,8471,child,1,4,hunger
399,8472,child,2,4,hunger
399,8473,child,3,4,hunger
399,8474,child,4,4,hunger
399,8475,child,5,4,hunger
399,8476,child,6,4,hunger
399,8477,child,7,4,hunger
399,8478,child,8,4,hunger
399,8479,child,9,4,hunger
399,8480,child,10,4,hunger
399,8481,child,11,4,hunger
403,8436,mother,3,2,starvation
420,8433,mother,0,2,starvation
421,8462,mother,4,3,starvation
424,8409,mother,0,1,starvation
434,8459,mother,1,3,starvation
435,8483,child,11,3,hunger
436,8412,mother,3,1,starvation
442,8458,mother,0,3,starvation
448,8468,mother,10,3,starvation
455,8415,mother,6,1,starvation
459,8435,mother,2,2,starvation
459,8444,mother,11,2,starvation
461,8466,mother,8,3,starvation
463,8440,mother,7,2,starvation
472,8461,mother,3,3,starvation
475,8482,mother,11,2,starvation
477,8438,mother,5,2,starvation
480,8416,mother,7,1,starvation
499,8496,child,0,5,hunger
499,8497,child,1,5,hunger
499,8498,child,2,5,hunger
499,8499,child,3,5,hunger
499,8500,child,4,5,hunger
499,8501,child,5,5,hunger
499,8502,child,6,5,hunger
499,8503,child,7,5,hunger
499,8504,child,8,5,hunger
499,8505,child,9,5,hunger
499,8506,child,10,5,hunger
499,8507,child,11,5,hunger
507,8460,mother,2,3,starvation
507,8469,mother,11,3,starvation
507,8494,mother,10,4,starvation
508,8490,mother,6,4,starvation
509,8467,mother,9,3,starvation
511,8488,mother,4,4,starvation
511,8491,mother,7,4,starvation
517,8484,mother,0,4,starvation
521,8463,mother,5,3,starvation
523,8486,mother,2,4,starvation
530,8489,mother,5,4,starvation
533,8492,mother,8,4,starvation
535,8493,mother,9,4,starvation
535,8509,child,11,4,hunger
547,8420,mother,11,1,starvation
552,8485,mother,1,4,starvation
563,8495,mother,11,4,starvation
567,8508,mother,11,3,starvation
574,8410,mother,1,1,starvation
578,8464,mother,6,3,starvation
589,8465,mother,7,3,starvation
596,8516,mother,6,5,starvation
598,8487,mother,3,4,starvation
599,8522,child,0,6,hunger
599,8523,child,1,6,hunger
599,8524,child,2,6,hunger
599,8525,child,3,6,hunger
599,8526,child,4,6,hunger
599,8527,child,5,6,hunger
599,8528,child,6,6,hunger
599,8529,child,7,6,hunger
599,8530,child,8,6,hunger
599,8531,child,9,6,hunger
599,8532,child,10,6,hunger
599,8533,child,11,6,hunger
607,8511,mother,1,5,starvation
607,8521,mother,11,5,starvation
609,8512,mother,2,5,starvation
613,8510,mother,0,5,starvation
615,8518,mother,8,5,starvation
618,8520,mother,10,5,starvation
626,8514,mother,4,5,starvation
626,8519,mother,9,5,starvation
629,8517,mother,7,5,starvation
635,8535,child,11,5,hunger
639,8513,mother,3,5,starvation
640,8515,mother,5,5,starvation
640,8534,mother,11,4,starvation
699,8547,mother,11,6,starvation
699,8548,child,0,7,hunger
699,8549,child,1,7,hunger
699,8550,child,2,7,hunger
699,8551,child,3,7,hunger
699,8552,child,4,7,hunger
699,8553,child,5,7,hunger
699,8554,child,6,7,hunger
699,8555,child,7,7,hunger
699,8556,child,8,7,hunger
699,8557,child,9,7,hunger
699,8558,child,10,7,hunger
699,8559,child,11,7,hunger
718,8536,mother,0,6,starvation
719,8542,mother,6,6,starvation
719,8545,mother,9,6,starvation
722,8538,mother,2,6,starvation
723,8560,mother,11,5,starvation
724,8546,mother,10,6,starvation
726,8540,mother,4,6,starvation
728,8544,mother,8,6,starvation
730,8543,mother,7,6,starvation
732,8539,mother,3,6,starvation
733,8537,mother,1,6,starvation
735,8561,child,11,6,hunger
740,8541,mother,5,6,starvation
750,8562,mother,0,7,starvation
793,8572,mother,10,7,starvation
795,8569,mother,7,7,starvation
799,8574,child,0,8,hunger
799,8575,child,1,8,hunger
799,8576,child,2,8,hunger
799,8577,child,3,8,hunger
799,8578,child,4,8,hunger
799,8579,child,5,8,hunger
799,8580,child,6,8,hunger
799,8581,child,7,8,hunger
799,8582,child,8,8,hunger
799,8583,child,9,8,hunger
799,8584,child,10,8,hunger
799,8585,child,11,8,hunger
823,8565,mother,3,7,starvation
826,8564,mother,2,7,starvation
826,8566,mother,4,7,starvation
