tick,mother_id,child_id,r,benefit,cost,success,mother_lineage_id,child_lineage_id,is_own_child
0,4046,4047,0.5,0.008,0.03,True,6,6,True
0,4034,4035,0.5,0.008,0.03,True,0,0,True
0,4036,4037,0.5,0.008,0.03,True,1,1,True
0,4042,4043,0.5,0.008,0.03,True,4,4,True
0,4056,4057,0.5,0.008,0.03,True,11,11,True
1,4050,4043,0.0,0.008,0.034999999999999996,True,8,4,False
1,4042,4045,0.0,0.016,0.03,True,4,5,False
1,4044,4043,0.0,0.0,0.034999999999999996,True,5,4,False
1,4046,4047,0.5,0.008,0.03,True,6,6,True
1,4056,4057,0.5,0.008,0.03,True,11,11,True
2,4056,4057,0.5,0.008,0.03,True,11,11,True
2,4038,4037,0.0,0.016,0.04,True,2,1,False
2,4046,4047,0.5,0.008,0.03,True,6,6,True
2,4050,4051,0.5,0.024,0.03,True,8,8,True
3,4044,4051,0.0,0.008,0.034999999999999996,True,5,8,False
5,4042,4051,0.0,0.016,0.045,True,4,8,False
5,4048,4049,0.5,0.048,0.055,True,7,7,True
5,4040,4039,0.0,0.048,0.055,True,3,2,False
5,4046,4047,0.5,0.024,0.034999999999999996,True,6,6,True
6,4052,4035,0.0,0.048,0.06,True,9,0,False
6,4056,4057,0.5,0.032,0.034999999999999996,True,11,11,True
6,4040,4039,0.0,0.008,0.03,True,3,2,False
8,4054,4035,0.0,0.016,0.07,True,10,0,False
10,4044,4055,0.0,0.08800000000000002,0.06,True,5,10,False
10,4040,4041,0.5,0.08800000000000002,0.045,True,3,3,True
10,4046,4047,0.5,0.04,0.034999999999999996,True,6,6,True
10,4048,4035,0.0,0.016,0.05,True,7,0,False
11,4056,4057,0.5,0.04,0.034999999999999996,True,11,11,True
11,4046,4047,0.5,0.008,0.03,True,6,6,True
12,4052,4055,0.0,0.016,0.055,True,9,10,False
12,4056,4057,0.5,0.008,0.03,True,11,11,True
13,4036,4049,0.0,0.064,0.09,True,1,7,False
14,4050,4045,0.0,0.10400000000000004,0.08499999999999999,True,8,5,False
14,4040,4039,0.0,0.064,0.045,True,3,2,False
14,4042,4051,0.0,0.07200000000000001,0.07,True,4,8,False
14,4046,4047,0.5,0.024,0.034999999999999996,True,6,6,True
15,4040,4039,0.0,0.008,0.03,True,3,2,False
15,4056,4057,0.5,0.024,0.034999999999999996,True,11,11,True
16,4040,4039,0.0,0.008,0.03,True,3,2,False
17,4046,4047,0.5,0.024,0.034999999999999996,True,6,6,True
18,4040,4037,0.0,0.12800000000000006,0.034999999999999996,True,3,1,False
18,4056,4057,0.5,0.024,0.034999999999999996,True,11,11,True
19,4052,4053,0.5,0.1600000000000001,0.06,True,9,9,True
20,4042,4055,0.0,0.064,0.055,True,4,10,False
20,4044,4055,0.0,0.0,0.075,True,5,10,False
21,4036,4037,0.5,0.024,0.065,True,1,1,True
22,4054,4055,0.5,0.016,0.09499999999999999,True,10,10,True
22,4046,4047,0.5,0.04,0.034999999999999996,True,6,6,True
23,4056,4057,0.5,0.04,0.04,True,11,11,True
23,4050,4043,0.0,0.1760000000000001,0.07,True,8,4,False
24,4052,4043,0.0,0.008,0.05,True,9,4,False
24,4046,4047,0.5,0.016,0.03,True,6,6,True
26,4038,4039,0.5,0.08000000000000002,0.14500000000000002,True,2,2,True
26,4036,4049,0.0,0.10400000000000004,0.05,True,1,7,False
27,4046,4047,0.5,0.024,0.034999999999999996,True,6,6,True
28,4038,4037,0.0,0.056,0.034999999999999996,True,2,1,False
28,4054,4045,0.0,0.11200000000000004,0.055,True,10,5,False
29,4040,4037,0.0,0.008,0.065,True,3,1,False
29,4054,4045,0.0,0.008,0.03,True,10,5,False
30,4054,4045,0.0,0.008,0.03,True,10,5,False
30,4046,4047,0.5,0.024,0.034999999999999996,True,6,6,True
33,4038,4041,0.0,0.1840000000000001,0.05,True,2,3,False
34,4048,4049,0.5,0.064,0.14500000000000002,True,7,7,True
34,4034,4053,0.0,0.12000000000000005,0.19500000000000006,True,0,9,False
35,4046,4047,0.5,0.04,0.04,True,6,6,True
36,4040,4039,0.0,0.08000000000000002,0.06,True,3,2,False
36,4044,4051,0.0,0.1760000000000001,0.105,True,5,8,False
38,4044,4043,0.0,0.11200000000000004,0.034999999999999996,True,5,4,False
39,4048,4035,0.0,0.2,0.05,True,7,0,False
40,4040,4041,0.5,0.056,0.045,True,3,3,True
42,4046,4047,0.5,0.056,0.04,True,6,6,True
45,4040,4039,0.0,0.07200000000000001,0.045,True,3,2,False
46,4036,4049,0.0,0.09600000000000003,0.09999999999999999,True,1,7,False
46,4044,4051,0.0,0.08000000000000002,0.04,True,5,8,False
46,4054,4053,0.0,0.09600000000000003,0.07,True,10,9,False
46,4034,4049,0.0,0.0,0.075,True,0,7,False
47,4044,4051,0.0,0.008,0.03,True,5,8,False
47,4054,4053,0.0,0.008,0.03,True,10,9,False
47,4046,4047,0.5,0.04,0.03,True,6,6,True
47,4040,4037,0.0,0.14400000000000007,0.034999999999999996,True,3,1,False
48,4054,4053,0.0,0.008,0.03,True,10,9,False
48,4052,4051,0.0,0.008,0.135,True,9,8,False
49,4054,4053,0.0,0.008,0.03,True,10,9,False
50,4054,4053,0.0,0.008,0.03,True,10,9,False
52,4046,4047,0.5,0.04,0.03,True,6,6,True
53,4046,4047,0.5,0.008,0.03,True,6,6,True
53,4036,4049,0.0,0.056,0.06,True,1,7,False
55,4050,4053,0.0,0.04,0.14500000000000002,True,8,9,False
55,4044,4053,0.0,0.0,0.065,True,5,9,False
56,4044,4055,0.0,0.2,0.03,True,5,10,False
57,4046,4047,0.5,0.032,0.034999999999999996,True,6,6,True
57,4044,4053,0.0,0.016,0.03,True,5,9,False
59,4054,4053,0.0,0.016,0.07,True,10,9,False
60,4042,4055,0.0,0.1040000000000002,0.18500000000000005,True,4,10,False
62,4052,4051,0.0,0.11200000000000004,0.055,True,9,8,False
62,4046,4047,0.5,0.04,0.04,True,6,6,True
63,4034,4037,0.0,0.12800000000000006,0.105,True,0,1,False
64,4040,4037,0.0,0.008,0.105,True,3,1,False
64,4054,4035,0.0,0.2,0.05,True,10,0,False
64,4038,4037,0.0,0.0,0.15500000000000003,True,2,1,False
65,4038,4037,0.0,0.008,0.03,True,2,1,False
65,4044,4043,0.0,0.2,0.065,True,5,4,False
66,4056,4057,0.5,0.2,0.115,True,11,11,True
66,4038,4037,0.0,0.008,0.03,True,2,1,False
67,4048,4035,0.0,0.05600000000000028,0.13,True,7,0,False
67,4036,4035,0.0,0.0,0.09499999999999999,True,1,0,False
69,4036,4035,0.0,0.016,0.03,True,1,0,False
