tick,mother_id,child_id,mother_lineage_id,mother_generation,mother_care_weight,mother_forage_weight,mother_self_weight
99,4058,4070,0,1,0.500080,0.500000,0.500000
99,4059,4071,1,1,0.500320,0.500000,0.500000
99,4060,4072,2,1,0.500800,0.500000,0.500000
99,4061,4073,3,1,0.501440,0.500000,0.449331
99,4062,4074,4,1,0.500080,0.500000,0.500000
99,4063,4075,5,1,0.322586,0.500000,0.500000
99,4064,4076,6,1,0.507760,0.500000,0.500000
99,4065,4077,7,1,0.492329,0.500000,0.500000
99,4066,4078,8,1,0.500240,0.500000,0.500000
99,4067,4079,9,1,0.501600,0.500000,0.500000
99,4068,4080,10,1,0.655768,0.500000,0.500000
99,4069,4081,11,1,0.505920,0.500000,0.500000
103,4046,4082,6,0,0.507760,0.500000,0.500000
199,4083,4095,0,2,0.500080,0.500000,0.500000
199,4084,4096,1,2,0.500320,0.500000,0.500000
199,4085,4097,2,2,0.500800,0.500000,0.500000
199,4086,4098,3,2,0.501440,0.500000,0.449331
199,4087,4099,4,2,0.500080,0.500000,0.500000
199,4088,4100,5,2,0.322586,0.500000,0.648389
199,4089,4101,6,2,0.511920,0.500000,0.500000
199,4090,4102,7,2,0.492969,0.500000,0.500000
199,4091,4103,8,2,0.500240,0.500000,0.500000
199,4092,4104,9,2,0.501600,0.500000,0.500000
199,4093,4105,10,2,0.584234,0.500000,0.500000
199,4094,4106,11,2,0.511440,0.500000,0.500000
203,4107,4108,6,1,0.507920,0.500000,0.500000
299,4109,4121,0,3,0.500080,0.500000,0.500000
299,4110,4122,1,3,0.500320,0.500000,0.500000
299,4111,4123,2,3,0.500800,0.500000,0.500000
299,4112,4124,3,3,0.503440,0.500000,0.449331
299,4113,4125,4,3,0.500080,0.500000,0.500000
299,4114,4126,5,3,0.322586,0.500000,0.648389
299,4115,4127,6,3,0.508087,0.500000,0.500000
299,4116,4128,7,3,0.492969,0.500000,0.500000
299,4117,4129,8,3,0.500240,0.500000,0.500000
299,4118,4130,9,3,0.501600,0.500000,0.500000
299,4119,4131,10,3,0.584234,0.500000,0.500000
299,4120,4132,11,3,0.516960,0.500000,0.500000
300,4094,4133,11,2,0.516960,0.500000,0.500000
303,4134,4135,6,2,0.507920,0.500000,0.500000
304,4066,4136,8,1,0.500240,0.500000,0.500000
399,4137,4149,0,4,0.500627,0.500000,0.500000
399,4138,4150,1,4,0.560066,0.500000,0.500000
399,4139,4151,2,4,0.564575,0.500000,0.500000
399,4140,4152,3,4,0.503440,0.500000,0.449331
399,4141,4153,4,4,0.500080,0.500000,0.500000
399,4142,4154,5,4,0.324387,0.500000,0.648389
399,4143,4155,6,4,0.588477,0.500000,0.500000
399,4144,4156,7,4,0.492969,0.500000,0.500000
399,4145,4157,8,4,0.500240,0.502855,0.453640
399,4146,4158,9,4,0.501600,0.500000,0.500000
399,4147,4159,10,4,0.584234,0.275900,0.500000
399,4148,4160,11,4,0.688035,0.575413,0.500000
400,4161,4162,11,3,0.518880,0.500000,0.500000
403,4163,4164,6,3,0.508160,0.500000,0.500000
404,4165,4166,8,2,0.508529,0.500000,0.500000
413,4114,4167,5,3,0.324387,0.500000,0.648389
499,4168,4180,0,5,0.501661,0.500000,0.500000
499,4169,4181,1,5,0.561026,0.500000,0.500000
499,4170,4182,2,5,0.565775,0.500000,0.500000
499,4171,4183,3,5,0.504240,0.500000,0.449331
499,4172,4184,4,5,0.500080,0.500000,0.500000
499,4173,4185,5,5,0.324387,0.425726,0.648389
499,4174,4186,6,5,0.588477,0.500000,0.500000
499,4175,4187,7,5,0.494061,0.500000,0.500000
499,4176,4188,8,5,0.500240,0.502855,0.453640
499,4177,4189,9,5,0.501600,0.500000,0.500000
499,4178,4190,10,5,0.500000,0.500000,0.500000
499,4179,4191,11,5,0.688035,0.575413,0.500000
500,4192,4193,11,4,0.518880,0.500000,0.500000
503,4194,4195,6,4,0.508160,0.500000,0.500000
504,4196,4197,8,3,0.508529,0.500000,0.500000
513,4198,4199,5,4,0.500000,0.500000,0.500000
599,4200,4212,0,6,0.501661,0.500000,0.500000
599,4201,4213,1,6,0.561026,0.500000,0.500000
599,4202,4214,2,6,0.500000,0.500000,0.500000
599,4203,4215,3,6,0.504960,0.500000,0.449331
599,4204,4216,4,6,0.500080,0.500000,0.554988
599,4205,4217,5,6,0.277958,0.425726,0.648389
599,4206,4218,6,6,0.588477,0.500000,0.500000
599,4207,4219,7,6,0.494061,0.500000,0.500000
599,4208,4220,8,6,0.500240,0.502855,0.453640
599,4209,4221,9,6,0.501600,0.500000,0.500000
599,4210,4222,10,6,0.500000,0.500000,0.500000
599,4211,4223,11,6,0.500000,0.500000,0.500000
600,4224,4225,11,5,0.518880,0.500000,0.500000
603,4226,4227,6,5,0.508160,0.500000,0.500000
604,4228,4229,8,4,0.508529,0.500000,0.500000
613,4230,4231,5,5,0.500000,0.614644,0.500000
699,4232,4244,0,7,0.501661,0.500000,0.500000
699,4233,4245,1,7,0.500000,0.500000,0.500000
699,4234,4246,2,7,0.500000,0.500000,0.500000
699,4235,4247,3,7,0.504960,0.500000,0.449331
699,4236,4248,4,7,0.500080,0.500000,0.554988
699,4237,4249,5,7,0.277958,0.425726,0.648389
