tick,agent_id,agent_type,lineage_id,generation,cause
98,14909,mother,21,0,starvation
99,14868,child,0,1,hunger
99,14870,child,1,1,hunger
99,14872,child,2,1,hunger
99,14874,child,3,1,hunger
99,14876,child,4,1,hunger
99,14878,child,5,1,hunger
99,14880,child,6,1,hunger
99,14882,child,7,1,hunger
99,14884,child,8,1,hunger
99,14886,child,9,1,hunger
99,14888,child,10,1,hunger
99,14890,child,11,1,hunger
99,14892,child,12,1,hunger
99,14894,child,13,1,hunger
99,14896,child,14,1,hunger
99,14898,child,15,1,hunger
99,14900,child,16,1,hunger
99,14902,child,17,1,hunger
99,14904,child,18,1,hunger
99,14906,child,19,1,hunger
99,14908,child,20,1,hunger
99,14910,child,21,1,hunger
99,14912,child,22,1,hunger
99,14914,child,23,1,hunger
99,14916,child,24,1,hunger
522,14899,mother,16,0,starvation
537,14934,mother,17,1,starvation
570,14936,mother,19,1,starvation
584,14932,mother,15,1,starvation
593,14913,mother,23,0,starvation
614,14919,mother,2,1,starvation
635,14929,mother,12,1,starvation
647,14879,mother,6,0,starvation
664,14915,mother,24,0,starvation
709,14927,mother,10,1,starvation
826,14893,mother,13,0,starvation
835,14939,mother,22,1,starvation
860,14920,mother,3,1,starvation
883,14917,mother,0,1,starvation
907,14911,mother,22,0,starvation
949,14918,mother,1,1,starvation
949,14940,mother,23,1,starvation
999,14925,mother,8,1,starvation
