tick,mother_id,child_id,r,benefit,cost,success,mother_lineage_id,child_lineage_id,is_own_child
0,14883,14884,0.5,0.008,0.03,True,8,8,True
0,14885,14884,0.0,0.0,0.03,True,9,8,False
0,14871,14872,0.5,0.008,0.03,True,2,2,True
0,14869,14868,0.0,0.008,0.03,True,1,0,False
0,14867,14868,0.5,0.0,0.03,True,0,0,True
0,14881,14882,0.5,0.008,0.03,True,7,7,True
0,14873,14874,0.5,0.008,0.03,True,3,3,True
0,14875,14876,0.5,0.008,0.03,True,4,4,True
1,14909,14884,0.0,0.008,0.034999999999999996,True,21,8,False
2,14899,14868,0.0,0.016,0.04,True,16,0,False
3,14913,14876,0.0,0.024,0.045,True,23,4,False
3,14907,14888,0.0,0.032,0.045,True,20,10,False
3,14915,14878,0.0,0.032,0.045,True,24,5,False
4,14907,14888,0.0,0.008,0.03,True,20,10,False
5,14909,14902,0.0,0.048,0.045,True,21,17,False
5,14881,14888,0.0,0.008,0.05,True,7,10,False
6,14911,14888,0.0,0.008,0.06,True,22,10,False
6,14903,14888,0.0,0.0,0.06,True,18,10,False
6,14867,14900,0.0,0.056,0.055,True,0,16,False
7,14891,14906,0.0,0.064,0.065,True,12,19,False
7,14869,14870,0.5,0.064,0.06,True,1,1,True
7,14885,14902,0.0,0.016,0.06,True,9,17,False
7,14867,14900,0.0,0.008,0.03,True,0,16,False
8,14867,14900,0.0,0.008,0.03,True,0,16,False
8,14911,14908,0.0,0.07200000000000001,0.034999999999999996,True,22,20,False
9,14887,14908,0.0,0.008,0.075,True,10,20,False
9,14867,14900,0.0,0.008,0.03,True,0,16,False
9,14911,14908,0.0,0.0,0.03,True,22,20,False
9,14909,14884,0.0,0.064,0.045,True,21,8,False
9,14883,14884,0.5,0.0,0.07,True,8,8,True
10,14909,14886,0.0,0.08800000000000002,0.03,True,21,9,False
10,14869,14900,0.0,0.008,0.04,True,1,16,False
10,14867,14900,0.0,0.0,0.03,True,0,16,False
11,14883,14886,0.0,0.008,0.034999999999999996,True,8,9,False
11,14909,14886,0.0,0.0,0.03,True,21,9,False
13,14871,14894,0.0,0.11200000000000004,0.09,True,2,13,False
14,14883,14902,0.0,0.056,0.04,True,8,17,False
14,14905,14892,0.0,0.12000000000000005,0.09999999999999999,True,19,12,False
15,14909,14902,0.0,0.008,0.045,True,21,17,False
15,14907,14890,0.0,0.12800000000000006,0.07999999999999999,True,20,11,False
16,14915,14894,0.0,0.024,0.09,True,24,13,False
16,14905,14896,0.0,0.13600000000000007,0.034999999999999996,True,19,14,False
17,14905,14896,0.0,0.008,0.03,True,19,14,False
18,14887,14908,0.0,0.07200000000000001,0.07,True,10,20,False
20,14891,14896,0.0,0.024,0.09,True,12,14,False
20,14899,14870,0.0,0.10400000000000004,0.115,True,16,1,False
20,14881,14904,0.0,0.1680000000000001,0.09999999999999999,True,7,18,False
21,14899,14870,0.0,0.008,0.03,True,16,1,False
21,14867,14870,0.0,0.0,0.07999999999999999,True,0,1,False
22,14901,14870,0.0,0.008,0.14,True,17,1,False
23,14915,14894,0.0,0.056,0.06,True,24,13,False
23,14895,14916,0.0,0.19200000000000012,0.14500000000000002,True,14,24,False
24,14909,14870,0.0,0.016,0.07,True,21,1,False
24,14883,14910,0.0,0.2,0.075,True,8,21,False
25,14909,14870,0.0,0.008,0.03,True,21,1,False
25,14903,14882,0.0,0.2,0.12000000000000001,True,18,7,False
25,14869,14910,0.0,0.008000000000000111,0.09999999999999999,True,1,21,False
25,14883,14910,0.0,0.0,0.03,True,8,21,False
25,14885,14910,0.0,0.0,0.115,True,9,21,False
26,14895,14906,0.0,0.15200000000000008,0.04,True,14,19,False
26,14885,14910,0.0,0.008,0.03,True,9,21,False
