tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,14273,0.9788,care,14244,0.0,0.3325,7,14232;14244;14248;14258;14260;14262;14274,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.1410;0.3325;0.3325;0.2035;0.3205;0.2700;0.2075,4;7;7;7;5;4;3
4,14255,0.9788,care,14234,0.0,0.1915,2,14234;14238;14244;14248;14254;14256;14262;14272;14276,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.1915;0.2660;0.3325;0.3325;0.2700;0.2700;0.2700;0.3325;0.2075,2;8;5;6;8;4;7;8;8
4,14269,0.9788,care,14270,0.5,0.3325,5,14236;14242;14254;14264;14266;14270;14278,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.3165;0.2700;0.2700;0.2075;0.2075;0.3325;0.1450,8;3;7;8;3;5;5
4,14239,0.9788,care,14234,0.0,0.1915,3,14234;14236;14240;14250;14254;14262;14264;14272,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1915;0.3165;0.3325;0.1450;0.2700;0.2700;0.2075;0.3325,3;6;5;7;6;6;4;3
4,14247,0.9788,care,14244,0.0,0.3325,4,14234;14238;14244;14248;14256;14262,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.1915;0.2660;0.3325;0.3325;0.2700;0.2700,3;7;4;5;6;5
4,14249,0.9992800000000001,forage,,,,,14232;14234;14240;14250;14262;14272,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.1410;0.1915;0.3325;0.1450;0.2700;0.3325,6;7;6;2;7;5
4,14237,0.9538,care,14244,0.0,0.3325,5,14238;14244;14248;14256;14262,0.5000;0.0000;0.0000;0.0000;0.0000,0.2660;0.3325;0.3325;0.2700;0.2700,4;5;5;5;8
4,14259,0.9788,care,14244,0.0,0.3325,2,14234;14244;14248;14258;14260;14262;14274,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.1915;0.3325;0.3325;0.2035;0.3205;0.2700;0.2075,8;2;2;8;5;5;5
4,14261,0.9538,care,14244,0.0,0.3325,6,14234;14244;14248;14250;14254;14256;14260;14262;14264;14272;14274,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.1915;0.3325;0.3325;0.1450;0.2700;0.2700;0.3205;0.2700;0.2075;0.3325;0.2075,1;6;7;7;7;7;8;4;8;7;8
4,14267,0.9538,care,14240,0.0,0.3325,7,14240;14250;14252;14268;14272;14280,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.3325;0.1450;0.1955;0.2075;0.3325;0.2700,7;8;1;3;8;5
