tick,agent_id,agent_type,lineage_id,generation,cause
99,14232,child,0,1,hunger
99,14234,child,1,1,hunger
99,14236,child,2,1,hunger
99,14238,child,3,1,hunger
99,14240,child,4,1,hunger
99,14242,child,5,1,hunger
99,14244,child,6,1,hunger
99,14246,child,7,1,hunger
99,14248,child,8,1,hunger
99,14250,child,9,1,hunger
99,14252,child,10,1,hunger
99,14254,child,11,1,hunger
99,14256,child,12,1,hunger
99,14258,child,13,1,hunger
99,14260,child,14,1,hunger
99,14262,child,15,1,hunger
99,14264,child,16,1,hunger
99,14266,child,17,1,hunger
99,14268,child,18,1,hunger
99,14270,child,19,1,hunger
99,14272,child,20,1,hunger
99,14274,child,21,1,hunger
99,14276,child,22,1,hunger
99,14278,child,23,1,hunger
99,14280,child,24,1,hunger
713,14305,mother,24,1,starvation
