tick,agent_id,agent_type,lineage_id,generation,cause
99,385,child,0,1,hunger
99,387,child,1,1,hunger
99,389,child,2,1,hunger
99,391,child,3,1,hunger
99,393,child,4,1,hunger
99,395,child,5,1,hunger
99,397,child,6,1,hunger
99,399,child,7,1,hunger
99,401,child,8,1,hunger
99,403,child,9,1,hunger
99,405,child,10,1,hunger
99,407,child,11,1,hunger
99,409,child,12,1,hunger
99,411,child,13,1,hunger
99,413,child,14,1,hunger
99,415,child,15,1,hunger
99,417,child,16,1,hunger
99,419,child,17,1,hunger
99,421,child,18,1,hunger
99,423,child,19,1,hunger
99,425,child,20,1,hunger
99,427,child,21,1,hunger
99,429,child,22,1,hunger
99,431,child,23,1,hunger
99,433,child,24,1,hunger
99,435,child,25,1,hunger
108,426,mother,21,0,starvation
115,432,mother,24,0,starvation
117,394,mother,5,0,starvation
195,420,mother,18,0,starvation
222,392,mother,4,0,starvation
224,384,mother,0,0,starvation
241,434,mother,25,0,starvation
268,444,mother,8,1,starvation
284,446,mother,10,1,starvation
298,458,mother,22,1,starvation
318,443,mother,7,1,starvation
321,424,mother,20,0,starvation
323,459,mother,23,1,starvation
327,422,mother,19,0,starvation
334,441,mother,5,1,starvation
337,386,mother,1,0,starvation
355,406,mother,11,0,starvation
362,402,mother,9,0,starvation
374,430,mother,23,0,starvation
384,457,mother,21,1,starvation
385,456,mother,20,1,starvation
387,398,mother,7,0,starvation
393,388,mother,2,0,starvation
393,412,mother,14,0,starvation
398,461,mother,25,1,starvation
416,400,mother,8,0,starvation
418,414,mother,15,0,starvation
426,440,mother,4,1,starvation
427,445,mother,9,1,starvation
428,390,mother,3,0,starvation
434,450,mother,14,1,starvation
444,453,mother,17,1,starvation
447,396,mother,6,0,starvation
452,448,mother,12,1,starvation
460,436,mother,0,1,starvation
498,418,mother,17,0,starvation
524,437,mother,1,1,starvation
526,452,mother,16,1,starvation
534,404,mother,10,0,starvation
543,455,mother,19,1,starvation
546,410,mother,13,0,starvation
561,449,mother,13,1,starvation
570,454,mother,18,1,starvation
571,460,mother,24,1,starvation
591,416,mother,16,0,starvation
603,447,mother,11,1,starvation
605,428,mother,22,0,starvation
622,438,mother,2,1,starvation
630,439,mother,3,1,starvation
652,442,mother,6,1,starvation
666,451,mother,15,1,starvation
747,408,mother,12,0,starvation
