tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,546,0.9992800000000001,forage,,,,,543;547;561;571;581;583;585,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1410;0.0665;0.2075;0.3325;0.1450;0.1450;0.2700,8;1;7;5;7;2;8
4,576,0.9538,care,571,0.0,0.3325,8,545;551;555;565;567;571;577;579,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.1290;0.0825;0.2075;0.2700;0.2700;0.3325;0.1450;0.2700,1;2;4;4;3;8;2;1
4,554,0.9788,care,545,0.0,0.129,2,545;551;555;565;567;571;577;579,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1290;0.0825;0.2075;0.2700;0.2700;0.3325;0.1450;0.2700,2;2;3;4;2;7;2;1
4,580,0.9788,care,551,0.0,0.0825,6,547;551;555;561;565;567;571;575;577;581,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.0665;0.0825;0.2075;0.2075;0.2700;0.2700;0.3325;0.1450;0.1450;0.1450,8;6;5;1;8;7;5;3;6;2
4,570,0.9788,care,565,0.0,0.27,6,543;545;551;555;561;565;567;571;577;579;581,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.1410;0.1290;0.0825;0.2075;0.2075;0.2700;0.2700;0.3325;0.1450;0.2700;0.1450,8;4;4;1;7;6;1;5;2;3;7
4,542,0.9538,care,571,0.0,0.3325,7,543;547;571;583;585,0.5000;0.0000;0.0000;0.0000;0.0000,0.1410;0.0665;0.3325;0.1450;0.2700,2;5;7;8;2
4,560,0.9788,care,565,0.0,0.27,6,545;551;555;561;563;565;567;571;575;577;579;581,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1290;0.0825;0.2075;0.2075;0.2700;0.2700;0.2700;0.3325;0.1450;0.1450;0.2700;0.1450,8;5;4;3;8;6;6;5;4;5;8;4
4,584,0.9538,care,567,0.0,0.27,5,543;547;555;567;571;577;579;583;585,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.1410;0.0665;0.2075;0.2700;0.3325;0.1450;0.2700;0.1450;0.2700,3;5;7;5;7;7;8;8;4
4,582,0.9538,care,571,0.0,0.3325,6,543;547;561;571;581;583;585,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.1410;0.0665;0.2075;0.3325;0.1450;0.1450;0.2700,8;1;8;6;7;2;8
5,582,0.9483199999999999,care,571,0.0,0.399,5,543;547;561;571;581;583;585,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.2075;0.0705;0.2740;0.3990;0.2115;0.1490;0.3365,8;1;7;5;7;2;8
5,544,0.9483199999999999,care,569,0.0,0.3365,6,545;551;555;565;567;569;577;579,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1955;0.0865;0.2740;0.2540;0.2740;0.3365;0.2115;0.2740,3;2;7;2;6;6;4;3
5,554,0.97332,care,571,0.0,0.399,8,545;551;555;565;567;571;577;579,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1955;0.0865;0.2740;0.2540;0.2740;0.3990;0.2115;0.2740,1;2;4;4;3;8;2;1
5,584,0.9483199999999999,care,571,0.0,0.399,6,543;545;547;551;555;567;571;577;579;583;585,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.2075;0.1955;0.0705;0.0865;0.2740;0.2740;0.3990;0.2115;0.2740;0.1490;0.3365,4;8;6;8;6;4;6;6;7;7;5
5,568,0.97332,care,565,0.0,0.254,1,545;551;555;565;567;569;577;579;589,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.1955;0.0865;0.2740;0.2540;0.2740;0.3365;0.2115;0.2740;0.2115,4;3;8;1;7;5;5;4;8
5,570,0.97332,care,565,0.0,0.254,5,545;551;555;561;565;567;571;577;579;581,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.1955;0.0865;0.2740;0.2740;0.2540;0.2740;0.3990;0.2115;0.2740;0.2115,3;3;2;7;5;1;6;1;3;7
5,566,0.9483199999999999,care,565,0.0,0.254,3,545;551;555;561;565;567;569;577;579;581,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000,0.1955;0.0865;0.2740;0.2740;0.2540;0.2740;0.3365;0.2115;0.2740;0.2115,2;1;5;8;3;4;8;2;2;8
5,572,0.9483199999999999,care,563,0.0,0.3365,7,541;549;557;559;563;573;575,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.0705;0.0865;0.2580;0.2740;0.3365;0.1490;0.1490,2;0;5;1;7;2;8
5,578,0.9233199999999999,care,569,0.0,0.3365,7,545;551;555;561;565;567;569;577;579,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.1955;0.0865;0.2740;0.2740;0.2540;0.2740;0.3365;0.2115;0.2740,4;1;6;8;1;5;7;3;4
5,542,0.9483199999999999,care,571,0.0,0.399,6,543;547;571;583;585,0.5000;0.0000;0.0000;0.0000;0.0000,0.2075;0.0705;0.3990;0.1490;0.3365,3;4;6;7;3
5,550,0.9483199999999999,care,565,0.0,0.254,2,545;551;555;561;565;567;569;577;579,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1955;0.0865;0.2740;0.2740;0.2540;0.2740;0.3365;0.2115;0.2740,3;1;6;8;2;5;7;3;3
5,564,0.97332,care,569,0.0,0.3365,7,545;551;555;565;567;569;577;579,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000,0.1955;0.0865;0.2740;0.2540;0.2740;0.3365;0.2115;0.2740,1;2;6;4;5;7;3;2
5,562,0.97332,care,563,0.5,0.3365,5,541;549;557;559;561;563;573;575;581,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.0705;0.0865;0.2580;0.2740;0.2740;0.3365;0.1490;0.1490;0.2115,4;2;7;3;8;5;2;7;8
5,552,0.9483199999999999,care,565,0.0,0.254,7,553;565;569;589,0.5000;0.0000;0.0000;0.0000,0.2620;0.2540;0.3365;0.2115,4;7;5;3
5,580,0.97332,care,571,0.0,0.399,4,545;551;555;561;565;567;571;575;577;579;581,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.1955;0.0865;0.2740;0.2740;0.2540;0.2740;0.3990;0.1490;0.2115;0.2740;0.2115,8;5;4;2;7;6;4;4;5;8;3
5,560,0.97332,care,565,0.0,0.254,5,545;551;555;561;563;565;567;571;575;577;579;581,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1955;0.0865;0.2740;0.2740;0.3365;0.2540;0.2740;0.3990;0.1490;0.2115;0.2740;0.2115,7;4;3;4;7;5;5;6;5;4;7;5
5,548,0.9483199999999999,care,563,0.0,0.3365,6,541;549;557;559;563;573;575,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.0705;0.0865;0.2580;0.2740;0.3365;0.1490;0.1490,3;1;6;2;6;1;8
5,576,0.9483199999999999,care,571,0.0,0.399,7,545;551;555;565;567;571;577;579,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.1955;0.0865;0.2740;0.2540;0.2740;0.3990;0.2115;0.2740,2;3;4;5;2;7;3;1
5,546,0.9938,forage,,,,,543;547;555;561;571;581;583;585,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.2075;0.0705;0.2740;0.2740;0.3990;0.2115;0.1490;0.3365,7;1;8;8;4;8;3;7
5,588,0.9483199999999999,care,569,0.0,0.3365,5,553;569;589,0.0000;0.0000;0.5000,0.2620;0.3365;0.2115,3;5;3
5,556,0.97332,care,573,0.0,0.149,3,541;549;557;559;563;573,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.0705;0.0865;0.2580;0.2740;0.3365;0.1490,1;1;4;2;8;3
6,584,0.9427599999999999,care,571,0.0,0.4655,5,543;545;547;551;555;567;571;577;579;583;585,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.2740;0.1995;0.0745;0.0905;0.2155;0.3405;0.4655;0.2155;0.2780;0.1530;0.3405,4;8;6;8;5;4;5;6;7;7;5
6,544,0.9427599999999999,care,569,0.0,0.3405,5,545;551;555;565;567;569;577;579;589,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1995;0.0905;0.2155;0.2540;0.3405;0.3405;0.2155;0.2780;0.2780,3;3;8;2;7;5;5;4;8
6,570,0.96776,care,571,0.5,0.4655,7,545;551;555;561;565;567;571;575;577;579;581,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000,0.1995;0.0905;0.2155;0.3405;0.2540;0.3405;0.4655;0.2155;0.2155;0.2780;0.2155,4;2;3;6;4;2;7;8;1;4;6
6,546,0.98824,forage,,,,,543;547;555;571;583;585,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000,0.2740;0.0745;0.2155;0.4655;0.1530;0.3405,6;1;8;4;4;6
6,556,0.96776,care,573,0.0,0.0905,2,541;549;557;559;563;573,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.0745;0.1530;0.3245;0.2155;0.2780;0.0905,2;1;5;2;7;2
6,548,0.9427599999999999,care,563,0.0,0.278,5,541;549;557;559;563;573;575,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.0745;0.1530;0.3245;0.2155;0.2780;0.0905;0.2155,4;2;7;3;5;1;7
