tick,agent_id,agent_type,lineage_id,generation,cause
99,11160,child,0,1,hunger
99,11162,child,1,1,hunger
99,11164,child,2,1,hunger
99,11166,child,3,1,hunger
99,11168,child,4,1,hunger
99,11170,child,5,1,hunger
99,11172,child,6,1,hunger
99,11174,child,7,1,hunger
99,11176,child,8,1,hunger
99,11178,child,9,1,hunger
99,11180,child,10,1,hunger
99,11182,child,11,1,hunger
116,11165,mother,3,0,starvation
117,11159,mother,0,0,starvation
199,11195,child,0,2,hunger
199,11196,child,1,2,hunger
199,11197,child,2,2,hunger
199,11198,child,3,2,hunger
199,11199,child,4,2,hunger
199,11200,child,5,2,hunger
199,11201,child,6,2,hunger
199,11202,child,7,2,hunger
199,11203,child,8,2,hunger
199,11204,child,9,2,hunger
199,11205,child,10,2,hunger
199,11206,child,11,2,hunger
210,11194,mother,11,1,starvation
248,11190,mother,7,1,starvation
269,11191,mother,8,1,starvation
272,11163,mother,2,0,starvation
279,11187,mother,4,1,starvation
283,11161,mother,1,0,starvation
299,11219,child,0,3,hunger
299,11220,child,1,3,hunger
299,11221,child,2,3,hunger
299,11222,child,3,3,hunger
299,11223,child,4,3,hunger
299,11224,child,5,3,hunger
299,11225,child,6,3,hunger
299,11226,child,7,3,hunger
299,11227,child,8,3,hunger
299,11228,child,9,3,hunger
299,11229,child,10,3,hunger
299,11230,child,11,3,hunger
302,11184,mother,1,1,starvation
304,11173,mother,7,0,starvation
304,11181,mother,11,0,starvation
307,11169,mother,5,0,starvation
308,11167,mother,4,0,starvation
309,11183,mother,0,1,starvation
313,11211,mother,4,2,starvation
330,11207,mother,0,2,starvation
339,11218,mother,11,2,starvation
340,11179,mother,10,0,starvation
346,11231,child,2,2,hunger
352,11209,mother,2,2,starvation
359,11210,mother,3,2,starvation
385,11216,mother,9,2,starvation
399,11217,mother,10,2,starvation
399,11244,child,0,4,hunger
399,11245,child,1,4,hunger
399,11246,child,2,4,hunger
399,11247,child,3,4,hunger
399,11248,child,4,4,hunger
399,11249,child,5,4,hunger
399,11250,child,6,4,hunger
399,11251,child,7,4,hunger
399,11252,child,8,4,hunger
399,11253,child,9,4,hunger
399,11254,child,10,4,hunger
399,11255,child,11,4,hunger
409,11215,mother,8,2,starvation
411,11213,mother,6,2,starvation
426,11212,mother,5,2,starvation
440,11238,mother,6,3,starvation
443,11256,child,6,3,hunger
446,11258,child,2,3,hunger
447,11177,mother,9,0,starvation
450,11188,mother,5,1,starvation
452,11192,mother,9,1,starvation
452,11193,mother,10,1,starvation
454,11236,mother,4,3,starvation
457,11234,mother,2,3,starvation
459,11189,mother,6,1,starvation
460,11171,mother,6,0,starvation
460,11242,mother,10,3,starvation
463,11240,mother,8,3,starvation
479,11243,mother,11,3,starvation
482,11233,mother,1,3,starvation
486,11235,mother,3,3,starvation
487,11186,mother,3,1,starvation
494,11241,mother,9,3,starvation
499,11271,child,0,5,hunger
499,11272,child,1,5,hunger
499,11273,child,2,5,hunger
499,11274,child,3,5,hunger
499,11275,child,4,5,hunger
499,11276,child,5,5,hunger
499,11277,child,6,5,hunger
499,11278,child,7,5,hunger
499,11279,child,8,5,hunger
499,11280,child,9,5,hunger
499,11281,child,10,5,hunger
499,11282,child,11,5,hunger
501,11269,mother,10,4,starvation
504,11175,mother,8,0,starvation
505,11208,mother,1,2,starvation
506,11261,mother,2,4,starvation
528,11270,mother,11,4,starvation
534,11267,mother,8,4,starvation
536,11237,mother,5,3,starvation
537,11214,mother,7,2,starvation
538,11232,mother,0,3,starvation
539,11262,mother,3,4,starvation
543,11239,mother,7,3,starvation
543,11284,child,6,4,hunger
545,11285,child,8,1,hunger
546,11287,child,2,4,hunger
549,11268,mother,9,4,starvation
551,11259,mother,0,4,starvation
557,11265,mother,6,4,starvation
567,11266,mother,7,4,starvation
570,11257,mother,2,2,starvation
573,11264,mother,5,4,starvation
580,11260,mother,1,4,starvation
581,11283,mother,6,3,starvation
599,11300,child,0,6,hunger
599,11301,child,1,6,hunger
599,11302,child,2,6,hunger
599,11303,child,3,6,hunger
599,11304,child,4,6,hunger
599,11305,child,5,6,hunger
599,11306,child,6,6,hunger
599,11307,child,7,6,hunger
599,11308,child,8,6,hunger
599,11309,child,9,6,hunger
599,11310,child,10,6,hunger
599,11311,child,11,6,hunger
603,11312,mother,6,4,starvation
608,11185,mother,2,1,starvation
621,11293,mother,5,5,starvation
627,11290,mother,2,5,starvation
631,11291,mother,3,5,starvation
643,11294,mother,6,5,starvation
643,11313,child,6,5,hunger
645,11315,child,8,2,hunger
646,11317,child,2,5,hunger
650,11296,mother,8,5,starvation
666,11299,mother,11,5,starvation
671,11298,mother,10,5,starvation
674,11263,mother,4,4,starvation
675,11297,mother,9,5,starvation
679,11292,mother,4,5,starvation
679,11314,mother,8,1,starvation
682,11289,mother,1,5,starvation
687,11288,mother,0,5,starvation
688,11328,mother,10,6,starvation
699,11330,child,0,7,hunger
699,11331,child,1,7,hunger
699,11332,child,2,7,hunger
699,11333,child,3,7,hunger
699,11334,child,4,7,hunger
699,11335,child,5,7,hunger
699,11336,child,6,7,hunger
699,11337,child,7,7,hunger
699,11338,child,8,7,hunger
699,11339,child,9,7,hunger
699,11340,child,10,7,hunger
699,11341,child,11,7,hunger
703,11295,mother,7,5,starvation
709,11325,mother,7,6,starvation
711,11286,mother,2,3,starvation
715,11320,mother,2,6,starvation
719,11327,mother,9,6,starvation
725,11324,mother,6,6,starvation
728,11319,mother,1,6,starvation
730,11321,mother,3,6,starvation
731,11329,mother,11,6,starvation
737,11342,mother,6,5,starvation
740,11316,mother,2,4,starvation
741,11322,mother,4,6,starvation
743,11343,child,6,6,hunger
744,11326,mother,8,6,starvation
745,11345,child,8,3,hunger
746,11347,child,2,6,hunger
755,11344,mother,8,2,starvation
776,11318,mother,0,6,starvation
778,11323,mother,5,6,starvation
787,11352,mother,4,7,starvation
795,11346,mother,2,5,starvation
799,11360,child,0,8,hunger
799,11361,child,1,8,hunger
799,11362,child,2,8,hunger
799,11363,child,3,8,hunger
799,11364,child,4,8,hunger
799,11365,child,5,8,hunger
799,11366,child,6,8,hunger
799,11367,child,7,8,hunger
799,11368,child,8,8,hunger
799,11369,child,9,8,hunger
799,11370,child,10,8,hunger
