tick,agent_id,agent_type,lineage_id,generation,cause
87,14163,mother,2,0,starvation
95,14187,mother,14,0,starvation
99,14160,child,0,1,hunger
99,14162,child,1,1,hunger
99,14164,child,2,1,hunger
99,14166,child,3,1,hunger
99,14168,child,4,1,hunger
99,14170,child,5,1,hunger
99,14172,child,6,1,hunger
99,14174,child,7,1,hunger
99,14176,child,8,1,hunger
99,14178,child,9,1,hunger
99,14180,child,10,1,hunger
99,14182,child,11,1,hunger
99,14184,child,12,1,hunger
99,14186,child,13,1,hunger
99,14188,child,14,1,hunger
99,14190,child,15,1,hunger
99,14192,child,16,1,hunger
99,14194,child,17,1,hunger
99,14196,child,18,1,hunger
99,14198,child,19,1,hunger
99,14200,child,20,1,hunger
99,14202,child,21,1,hunger
99,14204,child,22,1,hunger
99,14206,child,23,1,hunger
108,14159,mother,0,0,starvation
110,14169,mother,5,0,starvation
113,14183,mother,12,0,starvation
118,14197,mother,19,0,starvation
135,14201,mother,21,0,starvation
136,14203,mother,22,0,starvation
138,14177,mother,9,0,starvation
139,14173,mother,7,0,starvation
153,14161,mother,1,0,starvation
154,14185,mother,13,0,starvation
182,14193,mother,17,0,starvation
187,14181,mother,11,0,starvation
242,14205,mother,23,0,starvation
259,14221,mother,14,1,starvation
261,14207,mother,0,1,starvation
261,14209,mother,2,1,starvation
261,14219,mother,12,1,starvation
279,14214,mother,7,1,starvation
282,14199,mother,20,0,starvation
282,14224,mother,17,1,starvation
299,14228,mother,21,1,starvation
301,14223,mother,16,1,starvation
308,14211,mother,4,1,starvation
311,14212,mother,5,1,starvation
314,14210,mother,3,1,starvation
327,14229,mother,22,1,starvation
332,14165,mother,3,0,starvation
335,14213,mother,6,1,starvation
342,14175,mother,8,0,starvation
356,14230,mother,23,1,starvation
360,14218,mother,11,1,starvation
383,14179,mother,10,0,starvation
389,14195,mother,18,0,starvation
396,14226,mother,19,1,starvation
403,14220,mother,13,1,starvation
427,14167,mother,4,0,starvation
438,14208,mother,1,1,starvation
466,14171,mother,6,0,starvation
503,14217,mother,10,1,starvation
507,14216,mother,9,1,starvation
516,14191,mother,16,0,starvation
519,14189,mother,15,0,starvation
522,14215,mother,8,1,starvation
533,14225,mother,18,1,starvation
573,14227,mother,20,1,starvation
576,14222,mother,15,1,starvation
