tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,14165,0.9537975972957088,care,14200,0.0,0.3325,3,14166;14180;14200,0.5000;0.0000;0.0000,0.2660;0.2075;0.3325,4;4;3
4,14199,0.9788,care,14166,0.0,0.266,2,14166;14180;14200,0.0000;0.0000;0.5000,0.2660;0.2075;0.3325,2;4;5
4,14179,0.9788,care,14200,0.0,0.3325,5,14166;14180;14200,0.0000;0.5000;0.0000,0.2660;0.2075;0.3325,2;3;5
5,14197,0.97332,care,14188,0.0,0.3365,2,14172;14176;14188;14198,0.0000;0.0000;0.0000;0.5000,0.0825;0.2580;0.3365;0.2740,3;5;2;4
5,14165,0.9483175972957087,care,14200,0.0,0.399,2,14166;14180;14194;14200,0.5000;0.0000;0.0000;0.0000,0.3325;0.2740;0.2740;0.3990,5;5;8;2
5,14201,0.9483199999999999,care,14186,0.0,0.254,6,14160;14162;14168;14174;14182;14186;14192;14202;14206,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.1915;0.1490,2;3;8;2;8;6;3;3;5
5,14175,0.9233199999999999,care,14188,0.0,0.3365,3,14172;14176;14188;14198,0.0000;0.5000;0.0000;0.0000,0.0825;0.2580;0.3365;0.2740,2;4;3;4
5,14185,0.97832,care,14160,0.0,0.3205,4,14160;14162;14168;14174;14182;14186;14192;14194;14202;14206,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,4;2;6;3;6;4;3;7;2;3
5,14171,0.9233199999999999,care,14188,0.0,0.3365,5,14172;14176;14188;14198,0.5000;0.0000;0.0000;0.0000,0.0825;0.2580;0.3365;0.2740,1;2;5;4
5,14173,0.97332,care,14202,0.0,0.1915,2,14160;14162;14168;14174;14182;14186;14192;14194;14202;14206,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,3;5;7;1;7;5;2;8;2;5
5,14205,0.97332,care,14186,0.0,0.254,3,14160;14162;14168;14174;14182;14186;14192;14194;14202;14206,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,5;1;5;4;5;3;4;6;3;2
5,14183,0.9483199999999999,care,14170,0.0,0.3365,4,14164;14170;14184;14204,0.0000;0.0000;0.5000;0.0000,0.1410;0.3365;0.2660;0.1490,3;4;4;2
5,14167,0.97332,care,14202,0.0,0.1915,1,14160;14162;14168;14174;14182;14186;14192;14194;14202;14206,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,6;3;4;2;4;3;2;5;1;3
5,14163,0.9233103658493781,care,14170,0.0,0.3365,4,14164;14170;14176;14184;14188;14204,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1410;0.3365;0.2580;0.2660;0.3365;0.1490,2;4;8;3;7;5
5,14161,0.97332,care,14202,0.0,0.1915,2,14160;14162;14168;14174;14182;14186;14192;14194;14202;14206,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,3;3;7;2;7;5;2;8;2;4
5,14179,0.97332,care,14200,0.0,0.399,4,14166;14180;14200,0.0000;0.5000;0.0000,0.3325;0.2740;0.3990,3;4;4
5,14199,0.97332,care,14200,0.5,0.399,6,14166;14180;14200,0.0000;0.0000;0.5000,0.3325;0.2740;0.3990,1;4;6
5,14159,0.9482726120233412,care,14186,0.0,0.254,3,14160;14162;14168;14174;14182;14186;14192;14194;14202;14206,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,5;3;5;2;5;3;2;6;1;3
