tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance
4,2470,0.9888,care,2457,0.0,0.3325,5
4,2448,0.9538,care,2451,0.0,0.27,1
4,2456,0.9788,care,2451,0.0,0.27,2
4,2450,0.9788,care,2457,0.0,0.3325,8
5,2456,0.97332,care,2457,0.5,0.399,6
5,2462,0.9483199999999999,care,2451,0.0,0.3165,3
5,2470,0.98332,care,2457,0.0,0.399,4
5,2450,0.97332,care,2457,0.0,0.399,7
5,2448,0.9233199999999999,care,2457,0.0,0.399,6
6,2448,0.9177599999999999,care,2457,0.0,0.3405,5
6,2456,0.96776,care,2457,0.5,0.3405,5
6,2450,0.96776,care,2457,0.0,0.3405,6
6,2462,0.9427599999999999,care,2451,0.0,0.383,2
6,2470,0.97776,care,2457,0.0,0.3405,3
7,2462,0.93712,care,2451,0.0,0.387,1
7,2456,0.96212,care,2457,0.5,0.28200000000000003,4
7,2448,0.9121199999999999,care,2457,0.0,0.28200000000000003,4
7,2470,0.97212,care,2457,0.0,0.28200000000000003,2
7,2450,0.96212,care,2449,0.0,0.391,5
8,2456,0.9563999999999999,care,2471,0.0,0.34850000000000003,3
8,2462,0.9063999999999999,care,2449,0.0,0.4575,4
8,2450,0.9563999999999999,care,2449,0.0,0.4575,5
8,2448,0.9063999999999999,care,2457,0.0,0.2235,3
8,2470,0.9663999999999999,care,2471,0.5,0.34850000000000003,5
9,2458,0.9255999999999999,care,2453,0.0,0.34850000000000003,4
9,2450,0.9505999999999999,care,2449,0.0,0.524,4
9,2452,0.9355999999999999,care,2459,0.0,0.133,1
9,2448,0.9005999999999998,care,2457,0.0,0.29000000000000004,2
9,2462,0.9005999999999998,care,2449,0.0,0.524,3
10,2470,0.9547199999999999,care,2471,0.5,0.2315,3
10,2456,0.9447199999999999,care,2471,0.0,0.2315,1
10,2452,0.9047199999999999,care,2453,0.5,0.35250000000000004,5
10,2458,0.9197199999999999,care,2453,0.0,0.35250000000000004,3
10,2450,0.9447199999999999,care,2449,0.0,0.528,3
10,2448,0.8947199999999998,care,2457,0.0,0.35650000000000004,1
10,2462,0.8947199999999998,care,2449,0.0,0.528,2
11,2448,0.8637599999999999,care,2457,0.0,0.3165,1
11,2470,0.9487599999999999,care,2471,0.5,0.129,2
11,2450,0.9387599999999999,care,2449,0.0,0.532,2
11,2462,0.8887599999999999,care,2449,0.0,0.532,1
11,2456,0.9137599999999999,care,2457,0.5,0.3165,5
12,2470,0.9477199999999999,care,2471,0.5,0.133,2
12,2456,0.9127199999999999,care,2457,0.5,0.3165,5
12,2458,0.9077199999999999,care,2453,0.0,0.23550000000000001,1
12,2450,0.9377199999999999,care,2449,0.0,0.504,2
12,2448,0.8327199999999998,care,2457,0.0,0.3165,1
12,2462,0.8577199999999998,care,2449,0.0,0.504,1
12,2452,0.8927199999999998,care,2453,0.5,0.23550000000000001,3
13,2458,0.8765999999999998,care,2459,0.5,0.3285,5
13,2470,0.9465999999999999,care,2457,0.0,0.3165,4
13,2456,0.9115999999999999,care,2457,0.5,0.3165,5
13,2448,0.8015999999999998,forage,,,,
13,2450,0.9365999999999999,care,2449,0.0,0.504,2
13,2452,0.8865999999999998,care,2453,0.5,0.129,2
13,2462,0.8265999999999998,care,2449,0.0,0.504,1
13,2464,0.8888399999999999,care,2457,0.0,0.3165,8
14,2462,0.7953999999999998,care,2449,0.0,0.504,1
14,2450,0.9353999999999999,care,2449,0.0,0.504,2
14,2448,0.7953999999999998,care,2449,0.5,0.504,8
15,2470,0.93412,care,2457,0.0,0.3245,2
15,2456,0.8991199999999999,care,2451,0.0,0.28200000000000003,4
15,2462,0.7641199999999998,care,2449,0.0,0.4415,1
15,2464,0.8763599999999999,care,2457,0.0,0.3245,6
15,2450,0.93412,care,2449,0.0,0.4415,2
15,2448,0.7891199999999998,care,2449,0.5,0.4415,7
16,2464,0.8699999999999999,care,2457,0.0,0.391,5
16,2456,0.8927599999999999,care,2451,0.0,0.28600000000000003,3
16,2470,0.9277599999999999,care,2457,0.0,0.391,1
16,2448,0.7827599999999998,care,2449,0.5,0.379,6
16,2450,0.9327599999999999,care,2449,0.0,0.379,2
16,2462,0.7327599999999997,forage,,,,
17,2462,0.7263199999999997,forage,,,,
17,2448,0.7763199999999998,care,2449,0.5,0.3205,5
17,2456,0.8863199999999999,care,2451,0.0,0.29000000000000004,2
17,2460,0.88072,care,2465,0.0,0.3165,1
17,2464,0.8635599999999999,care,2457,0.0,0.379,4
17,2470,0.8963199999999999,care,2457,0.0,0.379,1
17,2450,0.9313199999999999,care,2457,0.0,0.379,8
18,2448,0.7697999999999998,care,2449,0.5,0.262,4
18,2464,0.8570399999999999,care,2457,0.0,0.379,3
18,2460,0.8492,care,2465,0.0,0.379,1
18,2462,0.7247999999999998,forage,,,,
18,2470,0.8647999999999999,care,2457,0.0,0.379,1
18,2450,0.9248,care,2457,0.0,0.379,7
18,2456,0.8797999999999999,care,2457,0.5,0.379,6
19,2466,0.9166,care,2461,0.0,0.145,6
19,2460,0.8175999999999999,care,2465,0.0,0.4415,1
19,2470,0.8331999999999998,care,2451,0.0,0.42300000000000004,5
19,2452,0.8531999999999998,care,2453,0.5,0.3405,5
19,2458,0.8431999999999998,care,2453,0.0,0.3405,4
19,2450,0.9181999999999999,care,2457,0.0,0.3165,6
19,2448,0.7631999999999998,forage,,,,
19,2456,0.8731999999999999,care,2457,0.5,0.3165,5
19,2462,0.9731999999999997,care,2451,0.0,0.42300000000000004,5
19,2464,0.8504399999999999,care,2457,0.0,0.3165,2
20,2456,0.8665199999999998,care,2457,0.5,0.258,4
20,2450,0.9115199999999999,care,2451,0.5,0.42700000000000005,6
