tick,mother_id,child_id,r,benefit,cost,success
46,94,101,0.0,0.08800000000000002,0.034999999999999996,True
46,108,127,0.0,0.17600000000000027,0.03,True
47,138,131,0.0,0.2,0.09499999999999999,True
48,120,129,0.0,0.2,0.12000000000000001,True
48,94,135,0.0,0.032,0.034999999999999996,True
49,100,129,0.0,0.2,0.07,True
50,134,91,0.0,0.12800000000000006,0.06,True
50,96,107,0.0,0.2,0.18000000000000005,True
51,108,147,0.0,0.19200000000000012,0.05,True
51,106,91,0.0,0.008,0.115,True
51,116,125,0.0,0.14400000000000007,0.05,True
52,144,107,0.0,0.05600000000000015,0.055,True
53,148,125,0.0,0.016,0.15000000000000002,True
53,94,115,0.0,0.2,0.05,True
54,100,107,0.0,0.016,0.05,True
55,98,149,0.0,0.2,0.135,True
56,98,149,0.0,0.2,0.03,True
57,108,121,0.0,0.2,0.055,True
58,138,97,0.0,0.1840000000000001,0.07999999999999999,True
58,126,99,0.0,0.1600000000000001,0.18000000000000005,True
58,146,99,0.0,0.0,0.09499999999999999,True
58,132,99,0.0,0.0,0.18000000000000005,True
60,96,99,0.0,0.016,0.065,True
61,126,141,0.0,0.13600000000000007,0.04,True
61,146,141,0.0,0.0,0.04,True
62,114,141,0.0,0.008,0.12000000000000001,True
63,124,131,0.0,0.2,0.09999999999999999,True
63,118,103,0.0,0.1840000000000001,0.125,True
63,110,131,0.0,0.11200000000000038,0.115,True
63,96,141,0.0,0.008,0.04,True
64,148,131,0.0,0.008,0.075,True
64,120,103,0.0,0.008,0.09999999999999999,True
66,128,103,0.0,0.016,0.20000000000000007,True
66,108,127,0.0,0.1600000000000001,0.055,True
69,142,149,0.0,0.16000000000000042,0.20000000000000007,True
70,110,97,0.0,0.09600000000000003,0.055,True
72,94,145,0.0,0.2,0.09,True
72,106,145,0.0,0.024000000000000132,0.125,True
73,142,97,0.0,0.024,0.045,True
73,128,145,0.0,0.008,0.045,True
73,134,139,0.0,0.2,0.105,True
73,136,139,0.0,0.03200000000000014,0.125,True
74,114,145,0.0,0.008,0.08499999999999999,True
75,134,93,0.0,0.2,0.034999999999999996,True
75,130,111,0.0,0.2,0.21500000000000008,True
76,138,111,0.0,0.2,0.09499999999999999,True
77,98,111,0.0,0.1920000000000004,0.105,True
77,116,93,0.0,0.04800000000000014,0.09999999999999999,True
78,130,149,0.0,0.07200000000000001,0.04,True
78,118,129,0.0,0.2,0.055,True
78,144,147,0.0,0.2,0.14,True
78,126,129,0.0,0.03200000000000042,0.105,True
80,100,129,0.0,0.016,0.105,True
82,132,105,0.0,0.2,0.07,True
82,94,101,0.0,0.2,0.06,True
83,100,103,0.0,0.13600000000000007,0.04,True
84,130,143,0.0,0.2,0.055,True
84,98,143,0.0,0.2,0.04,True
84,104,99,0.0,0.19200000000000012,0.21000000000000008,True
85,138,143,0.0,0.11200000000000032,0.045,True
85,148,125,0.0,0.2,0.09499999999999999,True
86,144,109,0.0,0.2,0.065,True
86,110,143,0.0,0.008,0.07,True
86,148,113,0.0,0.2,0.03,True
86,142,125,0.0,0.06400000000000017,0.06,True
86,94,135,0.0,0.2,0.045,True
87,106,105,0.0,0.2,0.065,True
87,100,107,0.0,0.2,0.045,True
88,106,123,0.0,0.20000000000000007,0.03,True
88,118,107,0.0,0.07200000000000017,0.075,True
92,128,101,0.0,0.16800000000000026,0.075,True
92,106,141,0.0,0.2,0.045,True
94,108,121,0.0,0.2,0.12000000000000001,True
94,92,121,0.0,0.11200000000000032,0.19000000000000006,True
94,128,135,0.0,0.16800000000000026,0.034999999999999996,True
94,126,145,0.0,0.1600000000000001,0.06,True
95,120,145,0.0,0.008,0.11,True
98,128,95,0.0,0.2,0.04,True
