tick,mother_id,child_id,r,benefit,cost,success,mother_lineage_id,child_lineage_id,is_own_child
0,14649,14650,0.5,0.008,0.03,True,8,8,True
0,14645,14646,0.5,0.008,0.03,True,6,6,True
0,14633,14634,0.5,0.008,0.03,True,0,0,True
0,14641,14642,0.5,0.008,0.03,True,4,4,True
0,14635,14636,0.5,0.008,0.03,True,1,1,True
1,14667,14642,0.0,0.008,0.034999999999999996,True,17,4,False
1,14683,14638,0.0,0.016,0.034999999999999996,True,25,2,False
1,14657,14646,0.0,0.008,0.034999999999999996,True,12,6,False
1,14681,14636,0.0,0.008,0.034999999999999996,True,24,1,False
2,14651,14650,0.0,0.016,0.04,True,9,8,False
2,14653,14642,0.0,0.008,0.04,True,10,4,False
3,14669,14640,0.0,0.032,0.045,True,18,3,False
3,14641,14660,0.0,0.032,0.04,True,4,13,False
3,14675,14634,0.0,0.024,0.045,True,21,0,False
3,14649,14652,0.0,0.032,0.04,True,8,9,False
3,14643,14636,0.0,0.016,0.045,True,5,1,False
4,14649,14652,0.0,0.008,0.03,True,8,9,False
4,14667,14660,0.0,0.008,0.04,True,17,13,False
4,14669,14640,0.0,0.008,0.03,True,18,3,False
4,14655,14638,0.0,0.024,0.05,True,11,2,False
5,14649,14652,0.0,0.008,0.03,True,8,9,False
5,14665,14660,0.0,0.008,0.055,True,16,13,False
5,14667,14660,0.0,0.0,0.03,True,17,13,False
5,14661,14640,0.0,0.008,0.055,True,14,3,False
6,14659,14648,0.0,0.056,0.06,True,13,7,False
6,14649,14652,0.0,0.008,0.03,True,8,9,False
6,14657,14646,0.0,0.04,0.05,True,12,6,False
6,14673,14644,0.0,0.056,0.06,True,20,5,False
6,14667,14660,0.0,0.008,0.03,True,17,13,False
7,14685,14664,0.0,0.064,0.065,True,26,15,False
8,14647,14648,0.5,0.016,0.07,True,7,7,True
8,14679,14642,0.0,0.048,0.07,True,23,4,False
9,14663,14684,0.0,0.08000000000000002,0.075,True,15,25,False
9,14679,14642,0.0,0.008,0.03,True,23,4,False
9,14667,14642,0.0,0.0,0.04,True,17,4,False
10,14643,14636,0.0,0.056,0.06,True,5,1,False
11,14653,14642,0.0,0.016,0.07,True,10,4,False
11,14671,14642,0.0,0.0,0.08499999999999999,True,19,4,False
11,14643,14636,0.0,0.008,0.03,True,5,1,False
11,14657,14674,0.0,0.09600000000000003,0.05,True,12,20,False
11,14659,14634,0.0,0.064,0.05,True,13,0,False
12,14633,14684,0.0,0.024,0.08499999999999999,True,0,25,False
12,14645,14674,0.0,0.008,0.08499999999999999,True,6,20,False
12,14639,14670,0.0,0.10400000000000004,0.09,True,3,18,False
12,14679,14660,0.0,0.048,0.04,True,23,13,False
13,14647,14634,0.0,0.016,0.05,True,7,0,False
13,14673,14634,0.0,0.0,0.06,True,20,0,False
13,14639,14670,0.0,0.008,0.03,True,3,18,False
13,14637,14634,0.0,0.0,0.09499999999999999,True,2,0,False
13,14685,14678,0.0,0.11200000000000004,0.055,True,26,22,False
13,14667,14660,0.0,0.008,0.045,True,17,13,False
14,14635,14634,0.0,0.008,0.09499999999999999,True,1,0,False
14,14677,14634,0.0,0.0,0.09999999999999999,True,22,0,False
14,14639,14670,0.0,0.008,0.03,True,3,18,False
14,14647,14634,0.0,0.0,0.03,True,7,0,False
14,14661,14670,0.0,0.0,0.07,True,14,18,False
14,14673,14634,0.0,0.0,0.03,True,20,0,False
15,14679,14642,0.0,0.032,0.04,True,23,4,False
15,14633,14638,0.0,0.08800000000000002,0.04,True,0,2,False
15,14635,14634,0.0,0.008,0.03,True,1,0,False
15,14661,14670,0.0,0.008,0.03,True,14,18,False
15,14647,14634,0.0,0.0,0.03,True,7,0,False
15,14671,14660,0.0,0.016,0.045,True,19,13,False
15,14673,14634,0.0,0.0,0.03,True,20,0,False
15,14639,14670,0.0,0.0,0.03,True,3,18,False
16,14647,14634,0.0,0.008,0.03,True,7,0,False
16,14667,14642,0.0,0.008,0.04,True,17,4,False
16,14661,14670,0.0,0.008,0.03,True,14,18,False
16,14643,14636,0.0,0.04,0.034999999999999996,True,5,1,False
16,14649,14660,0.0,0.008,0.075,True,8,13,False
16,14639,14670,0.0,0.0,0.03,True,3,18,False
16,14657,14646,0.0,0.08000000000000002,0.05,True,12,6,False
16,14635,14634,0.0,0.0,0.03,True,1,0,False
16,14673,14634,0.0,0.0,0.03,True,20,0,False
17,14635,14634,0.0,0.008,0.03,True,1,0,False
17,14657,14646,0.0,0.008,0.03,True,12,6,False
17,14643,14636,0.0,0.008,0.03,True,5,1,False
17,14673,14634,0.0,0.0,0.03,True,20,0,False
17,14647,14634,0.0,0.0,0.03,True,7,0,False
17,14661,14670,0.0,0.008,0.03,True,14,18,False
17,14663,14638,0.0,0.016,0.065,True,15,2,False
17,14639,14670,0.0,0.0,0.03,True,3,18,False
18,14669,14636,0.0,0.008,0.09499999999999999,True,18,1,False
18,14661,14670,0.0,0.008,0.03,True,14,18,False
18,14647,14634,0.0,0.008,0.03,True,7,0,False
18,14653,14642,0.0,0.016,0.06,True,10,4,False
18,14643,14636,0.0,0.0,0.03,True,5,1,False
18,14657,14646,0.0,0.008,0.03,True,12,6,False
18,14673,14634,0.0,0.0,0.03,True,20,0,False
18,14635,14634,0.0,0.0,0.03,True,1,0,False
18,14685,14664,0.0,0.08800000000000002,0.05,True,26,15,False
18,14639,14670,0.0,0.0,0.03,True,3,18,False
19,14673,14634,0.0,0.008,0.03,True,20,0,False
19,14657,14646,0.0,0.008,0.03,True,12,6,False
19,14647,14634,0.0,0.0,0.03,True,7,0,False
19,14649,14666,0.0,0.1600000000000001,0.04,True,8,16,False
19,14643,14636,0.0,0.008,0.03,True,5,1,False
19,14639,14670,0.0,0.008,0.03,True,3,18,False
19,14661,14670,0.0,0.0,0.03,True,14,18,False
19,14635,14634,0.0,0.0,0.03,True,1,0,False
19,14653,14642,0.0,0.008,0.03,True,10,4,False
19,14669,14636,0.0,0.0,0.03,True,18,1,False
20,14661,14670,0.0,0.008,0.03,True,14,18,False
20,14639,14670,0.0,0.0,0.03,True,3,18,False
20,14657,14646,0.0,0.008,0.03,True,12,6,False
20,14643,14636,0.0,0.008,0.03,True,5,1,False
20,14673,14634,0.0,0.008,0.03,True,20,0,False
21,14661,14670,0.0,0.008,0.03,True,14,18,False
21,14641,14634,0.0,0.008,0.115,True,4,0,False
21,14639,14670,0.0,0.0,0.03,True,3,18,False
21,14677,14634,0.0,0.0,0.06,True,22,0,False
21,14673,14634,0.0,0.0,0.03,True,20,0,False
21,14653,14642,0.0,0.016,0.03,True,10,4,False
21,14671,14642,0.0,0.0,0.04,True,19,4,False
22,14679,14642,0.0,0.008,0.06,True,23,4,False
22,14661,14670,0.0,0.008,0.03,True,14,18,False
22,14667,14642,0.0,0.0,0.055,True,17,4,False
22,14685,14656,0.0,0.1840000000000001,0.045,True,26,11,False
23,14659,14634,0.0,0.016,0.08499999999999999,True,13,0,False
23,14661,14670,0.0,0.008,0.03,True,14,18,False
23,14655,14684,0.0,0.08800000000000002,0.12000000000000001,True,11,25,False
24,14655,14684,0.0,0.008,0.03,True,11,25,False
24,14683,14686,0.0,0.2,0.14,True,25,26,False
24,14671,14660,0.0,0.064,0.04,True,19,13,False
24,14661,14670,0.0,0.008,0.03,True,14,18,False
24,14639,14670,0.0,0.0,0.034999999999999996,True,3,18,False
24,14633,14684,0.0,0.0,0.07,True,0,25,False
25,14683,14678,0.0,0.09600000000000003,0.03,True,25,22,False
