tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,14641,0.9287794043814455,care,14648,0.0,0.3325,7,14642;14648;14650;14654;14660;14666;14668;14672;14680,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1955;0.3325;0.1330;0.1450;0.2540;0.2075;0.0825;0.2075;0.2075,3;7;7;4;1;5;1;7;3
4,14683,0.9538,care,14664,0.0,0.3325,4,14638;14656;14664;14676;14684,0.0000;0.0000;0.0000;0.0000;0.5000,0.3245;0.2075;0.3325;0.2075;0.0825,3;3;4;8;1
4,14677,0.9788,care,14648,0.0,0.3325,6,14634;14648;14656;14678;14684;14686,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.2540;0.3325;0.2075;0.2700;0.0825;0.2075,5;6;8;4;7;5
4,14647,0.9788,care,14648,0.5,0.3325,5,14634;14648;14660;14676,0.0000;0.5000;0.0000;0.0000,0.2540;0.3325;0.2540;0.2075,1;5;8;5
4,14661,0.9788,care,14640,0.0,0.3165,2,14636;14640;14662;14670,0.0000;0.0000;0.5000;0.0000,0.1915;0.3165;0.2700;0.2075,8;2;4;1
4,14635,0.9537964582562241,care,14638,0.0,0.3245,5,14636;14638;14640;14644;14670;14676;14682;14684,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1915;0.3245;0.3165;0.2700;0.2075;0.2075;0.2700;0.0825,3;5;4;5;7;5;4;7
4,14667,0.9538,care,14660,0.0,0.254,1,14642;14648;14650;14654;14660;14666;14668;14672;14680,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.1955;0.3325;0.1330;0.1450;0.2540;0.2075;0.0825;0.2075;0.2075,3;8;6;5;1;4;1;6;2
4,14675,0.9538,care,14648,0.0,0.3325,7,14634;14638;14644;14648;14674;14676;14684,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.2540;0.3245;0.2700;0.3325;0.2075;0.2075;0.0825,1;8;7;7;8;3;7
4,14685,0.9788,care,14664,0.0,0.3325,4,14656;14664;14678;14686,0.0000;0.0000;0.0000;0.5000,0.2075;0.3325;0.2700;0.2075,7;4;2;3
4,14639,0.9788,care,14640,0.5,0.3165,5,14636;14640;14644;14670;14682,0.0000;0.5000;0.0000;0.0000;0.0000,0.1915;0.3165;0.2700;0.2075;0.2700,1;5;5;7;2
4,14669,0.9538,care,14640,0.0,0.3165,1,14636;14640;14644;14662;14670;14682,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.1915;0.3165;0.2700;0.2700;0.2075;0.2700,5;1;7;7;3;6
4,14643,0.9538,care,14640,0.0,0.3165,7,14636;14640;14644;14674;14676;14682,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.1915;0.3165;0.2700;0.2075;0.2075;0.2700,1;7;4;7;8;1
4,14681,0.9538,care,14640,0.0,0.3165,3,14636;14638;14640;14644;14670;14676;14682,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.1915;0.3245;0.3165;0.2700;0.2075;0.2075;0.2700,3;7;3;5;5;7;4
4,14655,0.9788,care,14638,0.0,0.3245,1,14638;14656;14664;14684,0.0000;0.5000;0.0000;0.0000,0.3245;0.2075;0.3325;0.0825,1;3;6;2
4,14633,0.9537946914040979,care,14638,0.0,0.3245,5,14634;14638;14648;14656;14676;14678;14684,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.2540;0.3245;0.3325;0.2075;0.2075;0.2700;0.0825,4;5;6;8;5;8;4
4,14663,0.9788,care,14638,0.0,0.3245,2,14638;14656;14664;14684,0.0000;0.0000;0.5000;0.0000,0.3245;0.2075;0.3325;0.0825,2;2;5;2
4,14637,0.9788,care,14638,0.5,0.3245,5,14636;14638;14640;14644;14670;14676;14682;14684,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1915;0.3245;0.3165;0.2700;0.2075;0.2075;0.2700;0.0825,4;5;4;6;7;5;5;7
4,14659,0.9788,care,14648,0.0,0.3325,3,14634;14642;14648;14652;14654;14660;14666;14668;14676;14680,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000,0.2540;0.1955;0.3325;0.2540;0.1450;0.2540;0.2075;0.0825;0.2075;0.2075,5;7;3;8;7;4;6;5;7;7
5,14669,0.9233199999999999,care,14644,0.0,0.3365,7,14636;14640;14644;14662;14670;14682,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.2580;0.2540;0.3365;0.3365;0.2115;0.3365,5;1;7;7;3;6
5,14673,0.97332,care,14644,0.0,0.3365,2,14634;14636;14644;14646;14666;14674;14676;14682,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.3205;0.2580;0.3365;0.3285;0.2115;0.2740;0.2740;0.3365,6;6;2;8;8;4;4;5
5,14655,0.9483199999999999,care,14664,0.0,0.399,6,14638;14656;14664;14684,0.0000;0.5000;0.0000;0.0000,0.2540;0.2115;0.3990;0.1490,1;3;6;2
5,14637,0.97332,care,14638,0.5,0.254,4,14634;14636;14638;14640;14644;14656;14670;14676;14682;14684,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2580;0.2540;0.2540;0.3365;0.2115;0.2115;0.2740;0.3365;0.1490,8;5;4;5;7;8;8;5;6;6
5,14643,0.9483199999999999,care,14640,0.0,0.254,6,14636;14640;14644;14670;14674;14682,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.2580;0.2540;0.3365;0.2115;0.2740;0.3365,1;6;5;8;8;2
