tick,agent_id,agent_type,lineage_id,generation,cause
98,14641,mother,4,0,starvation
98,14673,mother,20,0,starvation
99,14634,child,0,1,hunger
99,14636,child,1,1,hunger
99,14638,child,2,1,hunger
99,14640,child,3,1,hunger
99,14642,child,4,1,hunger
99,14644,child,5,1,hunger
99,14646,child,6,1,hunger
99,14648,child,7,1,hunger
99,14650,child,8,1,hunger
99,14652,child,9,1,hunger
99,14654,child,10,1,hunger
99,14656,child,11,1,hunger
99,14658,child,12,1,hunger
99,14660,child,13,1,hunger
99,14662,child,14,1,hunger
99,14664,child,15,1,hunger
99,14666,child,16,1,hunger
99,14668,child,17,1,hunger
99,14670,child,18,1,hunger
99,14672,child,19,1,hunger
99,14674,child,20,1,hunger
99,14676,child,21,1,hunger
99,14678,child,22,1,hunger
99,14680,child,23,1,hunger
99,14682,child,24,1,hunger
99,14684,child,25,1,hunger
99,14686,child,26,1,hunger
106,14661,mother,14,0,starvation
122,14659,mother,13,0,starvation
162,14655,mother,11,0,starvation
235,14671,mother,19,0,starvation
242,14669,mother,18,0,starvation
261,14712,mother,25,1,starvation
264,14691,mother,4,1,starvation
274,14689,mother,2,1,starvation
278,14690,mother,3,1,starvation
283,14701,mother,14,1,starvation
297,14694,mother,7,1,starvation
300,14708,mother,21,1,starvation
305,14705,mother,18,1,starvation
310,14695,mother,8,1,starvation
323,14710,mother,23,1,starvation
351,14696,mother,9,1,starvation
354,14707,mother,20,1,starvation
366,14687,mother,0,1,starvation
378,14663,mother,15,0,starvation
378,14667,mother,17,0,starvation
391,14643,mother,5,0,starvation
396,14706,mother,19,1,starvation
409,14711,mother,24,1,starvation
415,14699,mother,12,1,starvation
421,14693,mother,6,1,starvation
426,14703,mother,16,1,starvation
438,14635,mother,1,0,starvation
450,14681,mother,24,0,starvation
468,14647,mother,7,0,starvation
473,14702,mother,15,1,starvation
494,14692,mother,5,1,starvation
498,14683,mother,25,0,starvation
501,14633,mother,0,0,starvation
502,14653,mother,10,0,starvation
508,14697,mother,10,1,starvation
509,14677,mother,22,0,starvation
518,14698,mother,11,1,starvation
534,14713,mother,26,1,starvation
568,14649,mother,8,0,starvation
573,14685,mother,26,0,starvation
590,14665,mother,16,0,starvation
625,14704,mother,17,1,starvation
630,14637,mother,2,0,starvation
646,14675,mother,21,0,starvation
647,14688,mother,1,1,starvation
663,14657,mother,12,0,starvation
690,14651,mother,9,0,starvation
747,14700,mother,13,1,starvation
773,14709,mother,22,1,starvation
799,14639,mother,3,0,starvation
802,14645,mother,6,0,starvation
805,14679,mother,23,0,starvation
