tick,mother_id,child_id,mother_lineage_id,mother_generation,mother_care_weight,mother_forage_weight,mother_self_weight
99,2358,2376,9,0,0.048358,0.847494,0.603726
99,2364,2377,0,1,0.500000,0.500000,0.500000
99,2365,2378,1,1,0.105249,0.736471,0.676699
99,2366,2379,2,1,0.446090,0.086939,0.421922
99,2367,2380,3,1,0.014899,0.218638,0.505355
99,2368,2381,4,1,0.013268,0.198838,0.649884
99,2369,2382,5,1,0.272471,0.220441,0.589266
99,2370,2383,6,1,0.404715,0.006499,0.805819
99,2371,2384,7,1,0.349070,0.340251,0.155479
99,2372,2385,8,1,0.478607,0.336595,0.092746
99,2373,2386,9,1,0.000000,0.847494,0.603726
99,2374,2387,10,1,0.403564,0.864343,0.536228
99,2375,2388,11,1,0.500000,0.500000,0.500000
199,2389,2402,9,1,0.048358,0.847494,0.603726
199,2390,2403,0,2,0.500000,0.500000,0.500000
199,2391,2404,1,2,0.105249,0.736471,0.676699
199,2392,2405,2,2,0.500000,0.500000,0.500000
199,2393,2406,3,2,0.014899,0.218638,0.505355
199,2394,2407,4,2,0.013268,0.198838,0.649884
199,2395,2408,5,2,0.365900,0.220441,0.589266
199,2396,2409,6,2,0.404715,0.006499,0.805819
199,2397,2410,7,2,0.349070,0.340251,0.155479
199,2398,2411,8,2,0.500000,0.500000,0.500000
199,2399,2412,9,2,0.000000,0.847494,0.603726
199,2400,2413,10,2,0.403564,0.864343,0.520214
199,2401,2414,11,2,0.500000,0.500000,0.500000
211,2373,2415,9,1,0.000000,0.847494,0.603726
299,2416,2429,9,2,0.048358,0.847494,0.603726
299,2417,2430,0,3,0.500000,0.500000,0.500000
299,2418,2431,1,3,0.105249,0.736471,0.676699
299,2419,2432,2,3,0.500000,0.534957,0.500000
299,2420,2433,3,3,0.014899,0.218638,0.568278
299,2421,2434,4,3,0.013268,0.000000,0.649884
299,2422,2435,5,3,0.500000,0.500000,0.500000
299,2423,2436,6,3,0.404715,0.006499,0.805819
299,2424,2437,7,3,0.500000,0.500000,0.500000
299,2425,2438,8,3,0.500000,0.500000,0.500000
299,2426,2439,9,3,0.000000,0.847494,0.603726
299,2427,2440,10,3,0.403564,0.864343,0.520214
299,2428,2441,11,3,0.500000,0.500000,0.500000
311,2442,2443,9,2,0.500000,0.500000,0.500000
399,2444,2457,9,3,0.048358,0.847494,0.603726
399,2445,2458,0,4,0.500000,0.500000,0.500000
399,2446,2459,1,4,0.105249,0.736471,0.676699
399,2447,2460,2,4,0.500000,0.534957,0.500000
399,2448,2461,3,4,0.014899,0.218638,0.568278
399,2449,2462,4,4,0.013268,0.000000,0.649884
399,2450,2463,5,4,0.473862,0.500000,0.500000
399,2451,2464,6,4,0.500000,0.500000,0.500000
399,2452,2465,7,4,0.500000,0.500000,0.500000
399,2453,2466,8,4,0.500000,0.500000,0.500000
399,2454,2467,9,4,0.000000,0.847494,0.603726
399,2455,2468,10,4,0.403564,0.864343,0.520214
399,2456,2469,11,4,0.500000,0.500000,0.500000
411,2470,2471,9,3,0.500000,0.449733,0.500000
452,2418,2472,1,3,0.105249,0.736471,0.676699
499,2473,2486,9,4,0.048358,0.847494,0.603726
499,2474,2487,0,5,0.500000,0.500000,0.500000
499,2475,2488,1,5,0.105249,0.736471,0.676699
499,2476,2489,2,5,0.500000,0.534957,0.500000
499,2477,2490,3,5,0.014899,0.218638,0.568278
499,2478,2491,4,5,0.013268,0.000000,0.649884
499,2479,2492,5,5,0.409175,0.500000,0.500000
499,2480,2493,6,5,0.500000,0.500000,0.500000
