tick,agent_id,agent_type,lineage_id,generation,cause
99,9750,child,0,1,hunger
99,9752,child,1,1,hunger
99,9754,child,2,1,hunger
99,9756,child,3,1,hunger
99,9758,child,4,1,hunger
99,9760,child,5,1,hunger
99,9762,child,6,1,hunger
99,9764,child,7,1,hunger
99,9766,child,8,1,hunger
99,9768,child,9,1,hunger
99,9770,child,10,1,hunger
99,9772,child,11,1,hunger
135,9755,mother,3,0,starvation
159,9757,mother,4,0,starvation
163,9749,mother,0,0,starvation
195,9763,mother,7,0,starvation
199,9785,child,0,2,hunger
199,9786,child,1,2,hunger
199,9787,child,2,2,hunger
199,9788,child,3,2,hunger
199,9789,child,4,2,hunger
199,9790,child,5,2,hunger
199,9791,child,6,2,hunger
199,9792,child,7,2,hunger
199,9793,child,8,2,hunger
199,9794,child,9,2,hunger
199,9795,child,10,2,hunger
199,9796,child,11,2,hunger
208,9782,mother,9,1,starvation
210,9777,mother,4,1,starvation
222,9769,mother,10,0,starvation
238,9773,mother,0,1,starvation
250,9767,mother,9,0,starvation
260,9765,mother,8,0,starvation
262,9774,mother,1,1,starvation
275,9781,mother,8,1,starvation
276,9759,mother,5,0,starvation
293,9761,mother,6,0,starvation
299,9798,mother,1,2,starvation
299,9809,child,0,3,hunger
299,9810,child,1,3,hunger
299,9811,child,2,3,hunger
299,9812,child,3,3,hunger
299,9813,child,4,3,hunger
299,9814,child,5,3,hunger
299,9815,child,6,3,hunger
299,9816,child,7,3,hunger
299,9817,child,8,3,hunger
299,9818,child,9,3,hunger
299,9819,child,10,3,hunger
299,9820,child,11,3,hunger
300,9753,mother,2,0,starvation
303,9805,mother,8,2,starvation
311,9806,mother,9,2,starvation
312,9802,mother,5,2,starvation
315,9797,mother,0,2,starvation
320,9801,mother,4,2,starvation
391,9771,mother,11,0,starvation
399,9833,child,0,4,hunger
399,9834,child,1,4,hunger
399,9835,child,2,4,hunger
399,9836,child,3,4,hunger
399,9837,child,4,4,hunger
399,9838,child,5,4,hunger
399,9839,child,6,4,hunger
399,9840,child,7,4,hunger
399,9841,child,8,4,hunger
399,9842,child,9,4,hunger
399,9843,child,10,4,hunger
399,9844,child,11,4,hunger
401,9827,mother,6,3,starvation
403,9808,mother,11,2,starvation
404,9751,mother,1,0,starvation
404,9799,mother,2,2,starvation
409,9779,mother,6,1,starvation
412,9845,child,2,2,hunger
422,9821,mother,0,3,starvation
422,9829,mother,8,3,starvation
424,9832,mother,11,3,starvation
430,9775,mother,2,1,starvation
432,9846,child,11,3,hunger
437,9831,mother,10,3,starvation
438,9800,mother,3,2,starvation
452,9823,mother,2,3,starvation
453,9807,mother,10,2,starvation
454,9803,mother,6,2,starvation
456,9776,mother,3,1,starvation
459,9825,mother,4,3,starvation
462,9780,mother,7,1,starvation
465,9783,mother,10,1,starvation
498,9856,mother,9,4,starvation
499,9855,mother,8,4,starvation
499,9859,child,0,5,hunger
499,9860,child,1,5,hunger
499,9861,child,2,5,hunger
499,9862,child,3,5,hunger
499,9863,child,4,5,hunger
499,9864,child,5,5,hunger
499,9865,child,6,5,hunger
499,9866,child,7,5,hunger
499,9867,child,8,5,hunger
499,9868,child,9,5,hunger
499,9869,child,10,5,hunger
499,9870,child,11,5,hunger
