tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
5,14503,0.97332,care,14506,0.0,0.2115,6,14468;14484;14502;14504;14506;14512,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.3325;0.1490;0.2740;0.2740;0.2115;0.1490,4;8;6;4;6;8
5,14511,0.97332,care,14512,0.5,0.149,2,14468;14512,0.0000;0.5000,0.3325;0.1490,6;2
5,14467,0.9483199999999999,care,14512,0.0,0.149,3,14468;14512,0.5000;0.0000,0.3325;0.1490,5;3
6,14517,0.96776,care,14488,0.0,0.3165,2,14470;14472;14480;14484;14488;14490;14492;14506;14510;14518;14520,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.2035;0.2035;0.2115;0.1530;0.3165;0.0905;0.1330;0.2155;0.1530;0.1530;0.0905,7;6;4;2;2;1;5;4;5;2;5
6,14505,0.96776,care,14488,0.0,0.3165,2,14470;14472;14480;14484;14488;14490;14492;14506;14510;14518;14520,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.2035;0.2035;0.2115;0.1530;0.3165;0.0905;0.1330;0.2155;0.1530;0.1530;0.0905,7;6;4;1;2;1;5;3;6;3;5
6,14493,0.9177599999999999,care,14502,0.0,0.3405,7,14482;14486;14494;14496;14502;14516,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.0785;0.0905;0.0665;0.2780;0.3405;0.2155,3;2;1;8;7;4
6,14491,0.9177599999999999,care,14488,0.0,0.3165,5,14470;14472;14480;14484;14488;14490;14492;14496;14502;14506;14510;14518;14520,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.2035;0.2035;0.2115;0.1530;0.3165;0.0905;0.1330;0.2780;0.3405;0.2155;0.1530;0.1530;0.0905,4;3;7;5;5;3;2;6;7;7;2;3;2
6,14467,0.9427599999999999,care,14468,0.5,0.399,6,14468;14512,0.5000;0.0000,0.3990;0.0905,6;2
6,14469,0.9177599999999999,care,14502,0.0,0.3405,5,14470;14472;14476;14482;14484;14490;14492;14496;14502;14506;14510;14518;14520,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.2035;0.2035;0.0905;0.0785;0.1530;0.0905;0.1330;0.2780;0.3405;0.2155;0.1530;0.1530;0.0905,3;3;8;7;6;6;2;2;5;6;4;7;3
6,14487,0.96776,care,14502,0.0,0.3405,7,14470;14472;14480;14484;14488;14490;14492;14496;14502;14506;14510;14518;14520,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.2035;0.2035;0.2115;0.1530;0.3165;0.0905;0.1330;0.2780;0.3405;0.2155;0.1530;0.1530;0.0905,4;3;7;4;5;2;2;6;7;6;3;3;2
