tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,1327,0.9537975972957088,care,1362,0.0,0.3325,3,1328;1342;1362,0.5000;0.0000;0.0000,0.2660;0.2075;0.3325,4;4;3
4,1361,0.9788,care,1328,0.0,0.266,2,1328;1342;1362,0.0000;0.0000;0.5000,0.2660;0.2075;0.3325,2;4;5
4,1341,0.9788,care,1362,0.0,0.3325,5,1328;1342;1362,0.0000;0.5000;0.0000,0.2660;0.2075;0.3325,2;3;5
5,1359,0.97332,care,1350,0.0,0.3365,2,1334;1338;1350;1360,0.0000;0.0000;0.0000;0.5000,0.0825;0.2580;0.3365;0.2740,3;5;2;4
5,1327,0.9483175972957087,care,1362,0.0,0.399,2,1328;1342;1356;1362,0.5000;0.0000;0.0000;0.0000,0.3325;0.2740;0.2740;0.3990,5;5;8;2
5,1363,0.9483199999999999,care,1348,0.0,0.254,6,1322;1324;1330;1336;1344;1348;1354;1364;1368,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.1915;0.1490,2;3;8;2;8;6;3;3;5
5,1337,0.9233199999999999,care,1350,0.0,0.3365,3,1334;1338;1350;1360,0.0000;0.5000;0.0000;0.0000,0.0825;0.2580;0.3365;0.2740,2;4;3;4
5,1347,0.97832,care,1322,0.0,0.3205,4,1322;1324;1330;1336;1344;1348;1354;1356;1364;1368,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,4;2;6;3;6;4;3;7;2;3
5,1333,0.9233199999999999,care,1350,0.0,0.3365,5,1334;1338;1350;1360,0.5000;0.0000;0.0000;0.0000,0.0825;0.2580;0.3365;0.2740,1;2;5;4
5,1335,0.97332,care,1364,0.0,0.1915,2,1322;1324;1330;1336;1344;1348;1354;1356;1364;1368,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,3;5;7;1;7;5;2;8;2;5
5,1367,0.97332,care,1348,0.0,0.254,3,1322;1324;1330;1336;1344;1348;1354;1356;1364;1368,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,5;1;5;4;5;3;4;6;3;2
5,1345,0.9483199999999999,care,1332,0.0,0.3365,4,1326;1332;1346;1366,0.0000;0.0000;0.5000;0.0000,0.1410;0.3365;0.2660;0.1490,3;4;4;2
5,1329,0.97332,care,1364,0.0,0.1915,1,1322;1324;1330;1336;1344;1348;1354;1356;1364;1368,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,6;3;4;2;4;3;2;5;1;3
5,1325,0.9233103658493781,care,1332,0.0,0.3365,4,1326;1332;1338;1346;1350;1366,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1410;0.3365;0.2580;0.2660;0.3365;0.1490,2;4;8;3;7;5
5,1323,0.97332,care,1364,0.0,0.1915,2,1322;1324;1330;1336;1344;1348;1354;1356;1364;1368,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3205;0.2115;0.2740;0.0865;0.2115;0.2540;0.1490;0.2740;0.1915;0.1490,3;3;7;2;7;5;2;8;2;4
5,1341,0.97332,care,1362,0.0,0.399,4,1328;1342;1362,0.0000;0.5000;0.0000,0.3325;0.2740;0.3990,3;4;4
5,1361,0.97332,care,1362,0.5,0.399,6,1328;1342;1362,0.0000;0.0000;0.5000,0.3325;0.2740;0.3990,1;4;6
