tick,agent_id,agent_type,lineage_id,generation,cause
87,1325,mother,2,0,starvation
95,1349,mother,14,0,starvation
99,1322,child,0,1,hunger
99,1324,child,1,1,hunger
99,1326,child,2,1,hunger
99,1328,child,3,1,hunger
99,1330,child,4,1,hunger
99,1332,child,5,1,hunger
99,1334,child,6,1,hunger
99,1336,child,7,1,hunger
99,1338,child,8,1,hunger
99,1340,child,9,1,hunger
99,1342,child,10,1,hunger
99,1344,child,11,1,hunger
99,1346,child,12,1,hunger
99,1348,child,13,1,hunger
99,1350,child,14,1,hunger
99,1352,child,15,1,hunger
99,1354,child,16,1,hunger
99,1356,child,17,1,hunger
99,1358,child,18,1,hunger
99,1360,child,19,1,hunger
99,1362,child,20,1,hunger
99,1364,child,21,1,hunger
99,1366,child,22,1,hunger
99,1368,child,23,1,hunger
108,1321,mother,0,0,starvation
110,1331,mother,5,0,starvation
113,1345,mother,12,0,starvation
118,1359,mother,19,0,starvation
135,1363,mother,21,0,starvation
136,1365,mother,22,0,starvation
138,1339,mother,9,0,starvation
139,1335,mother,7,0,starvation
153,1323,mother,1,0,starvation
154,1347,mother,13,0,starvation
182,1355,mother,17,0,starvation
187,1343,mother,11,0,starvation
242,1367,mother,23,0,starvation
259,1383,mother,14,1,starvation
261,1369,mother,0,1,starvation
261,1371,mother,2,1,starvation
261,1381,mother,12,1,starvation
279,1376,mother,7,1,starvation
282,1361,mother,20,0,starvation
282,1386,mother,17,1,starvation
299,1390,mother,21,1,starvation
301,1385,mother,16,1,starvation
308,1373,mother,4,1,starvation
311,1374,mother,5,1,starvation
314,1372,mother,3,1,starvation
327,1391,mother,22,1,starvation
332,1327,mother,3,0,starvation
335,1375,mother,6,1,starvation
342,1337,mother,8,0,starvation
356,1392,mother,23,1,starvation
360,1380,mother,11,1,starvation
383,1341,mother,10,0,starvation
389,1357,mother,18,0,starvation
396,1388,mother,19,1,starvation
403,1382,mother,13,1,starvation
427,1329,mother,4,0,starvation
438,1370,mother,1,1,starvation
466,1333,mother,6,0,starvation
503,1379,mother,10,1,starvation
507,1378,mother,9,1,starvation
516,1353,mother,16,0,starvation
519,1351,mother,15,0,starvation
522,1377,mother,8,1,starvation
533,1387,mother,18,1,starvation
573,1389,mother,20,1,starvation
576,1384,mother,15,1,starvation
