tick,mother_id,child_id,r,benefit,cost,success
280,4,69,0.0,0.02,0.03,True
280,8,69,0.0,0.0,0.03,True
280,38,68,0.0,0.02,0.03,True
280,48,69,0.0,0.0,0.03,True
280,61,69,0.0,0.0,0.03,True
281,4,69,0.0,0.02,0.03,True
281,48,69,0.0,0.0,0.03,True
282,4,69,0.0,0.02,0.03,True
283,4,69,0.0,0.02,0.03,True
284,4,69,0.0,0.02,0.03,True
286,4,69,0.0,0.04,0.03,True
286,48,69,0.0,0.0,0.03,True
288,8,69,0.0,0.04,0.03,True
289,8,69,0.0,0.02,0.03,True
290,8,69,0.0,0.02,0.03,True
292,61,69,0.0,0.04,0.03,True
293,61,69,0.0,0.02,0.03,True
294,61,69,0.0,0.02,0.03,True
299,4,69,0.0,0.1,0.03,True
299,66,69,0.0,0.0,0.03,True
302,2,73,0.0,0.06,0.03,True
303,2,73,0.0,0.02,0.03,True
303,60,73,0.0,0.0,0.03,True
304,2,73,0.0,0.02,0.03,True
304,60,73,0.0,0.0,0.03,True
305,2,73,0.0,0.02,0.03,True
305,60,73,0.0,0.0,0.03,True
306,2,73,0.0,0.02,0.03,True
306,70,72,0.5,0.14,0.03,True
307,2,73,0.0,0.02,0.03,True
309,2,73,0.0,0.04,0.03,True
309,60,73,0.0,0.0,0.03,True
313,2,73,0.0,0.08,0.03,True
314,2,73,0.0,0.02,0.03,True
315,2,73,0.0,0.02,0.03,True
316,2,73,0.0,0.02,0.03,True
317,2,73,0.0,0.02,0.03,True
321,48,72,0.0,0.2,0.03,True
322,2,73,0.0,0.1,0.03,True
322,48,72,0.0,0.11999999999999998,0.03,True
323,48,72,0.0,0.02,0.03,True
324,48,72,0.0,0.02,0.03,True
325,48,72,0.0,0.02,0.03,True
326,48,72,0.0,0.02,0.03,True
327,48,72,0.0,0.02,0.03,True
328,48,72,0.0,0.02,0.03,True
330,48,72,0.0,0.04,0.03,True
333,48,72,0.0,0.06,0.03,True
344,12,73,0.0,0.2,0.03,True
346,12,73,0.0,0.2,0.03,True
349,12,73,0.0,0.14000000000000012,0.03,True
350,12,73,0.0,0.02,0.03,True
355,60,73,0.0,0.1,0.03,True
356,60,73,0.0,0.02,0.03,True
357,12,73,0.0,0.02,0.03,True
357,60,73,0.0,0.0,0.03,True
358,12,73,0.0,0.02,0.03,True
358,60,73,0.0,0.0,0.03,True
358,67,73,0.25,0.0,0.03,True
359,12,73,0.0,0.02,0.03,True
359,60,73,0.0,0.0,0.03,True
359,67,73,0.25,0.0,0.03,True
360,12,73,0.0,0.02,0.03,True
360,60,73,0.0,0.0,0.03,True
360,67,73,0.25,0.0,0.03,True
361,12,73,0.0,0.02,0.03,True
361,60,73,0.0,0.0,0.03,True
362,12,73,0.0,0.02,0.03,True
362,60,73,0.0,0.0,0.03,True
363,12,73,0.0,0.02,0.03,True
364,12,73,0.0,0.02,0.03,True
368,8,72,0.0,0.20000000000000007,0.03,True
368,38,72,0.0,0.2,0.03,True
369,8,72,0.0,0.2,0.03,True
370,8,72,0.0,0.1400000000000002,0.03,True
370,67,73,0.25,0.12000000000000001,0.03,True
371,8,72,0.0,0.02,0.03,True
372,8,72,0.0,0.02,0.03,True
373,8,72,0.0,0.02,0.03,True
383,38,72,0.0,0.19999999999999998,0.03,True
383,62,72,0.0,0.0,0.03,True
383,67,73,0.25,0.2,0.03,True
388,67,73,0.25,0.15999999999999995,0.03,True
389,8,72,0.0,0.12000000000000001,0.03,True
389,67,73,0.25,0.02,0.03,True
394,8,72,0.0,0.1,0.03,True
395,8,72,0.0,0.02,0.03,True
398,67,73,0.25,0.18,0.03,True
399,67,73,0.25,0.02,0.03,True
406,74,76,0.5,0.14,0.03,True
423,38,76,0.0,0.2,0.03,True
424,38,76,0.0,0.16,0.03,True
425,38,76,0.0,0.02,0.03,True
426,38,76,0.0,0.02,0.03,True
430,38,76,0.0,0.08,0.03,True
433,62,76,0.0,0.06,0.03,True
434,62,76,0.0,0.02,0.03,True
435,12,77,0.0,0.20000000000000007,0.03,True
436,12,77,0.0,0.2,0.03,True
437,12,77,0.0,0.2,0.03,True
438,62,76,0.0,0.08,0.03,True
439,62,76,0.0,0.02,0.03,True
440,62,76,0.0,0.02,0.03,True
441,62,76,0.0,0.02,0.03,True
442,8,76,0.0,0.02,0.03,True
442,62,76,0.0,0.0,0.03,True
443,8,76,0.0,0.02,0.03,True
443,62,76,0.0,0.0,0.03,True
444,8,76,0.0,0.02,0.03,True
444,62,76,0.0,0.0,0.03,True
445,8,76,0.0,0.02,0.03,True
445,62,76,0.0,0.0,0.03,True
446,8,76,0.0,0.02,0.03,True
446,62,76,0.0,0.0,0.03,True
447,12,77,0.0,0.2,0.03,True
447,62,76,0.0,0.02,0.03,True
448,62,76,0.0,0.02,0.03,True
449,62,76,0.0,0.02,0.03,True
450,12,77,0.0,0.2,0.03,True
452,67,76,0.0,0.06,0.03,True
453,67,76,0.0,0.02,0.03,True
454,67,76,0.0,0.02,0.03,True
455,67,76,0.0,0.02,0.03,True
456,67,76,0.0,0.02,0.03,True
457,67,76,0.0,0.02,0.03,True
458,67,76,0.0,0.02,0.03,True
461,67,76,0.0,0.06,0.03,True
462,67,76,0.0,0.02,0.03,True
463,67,76,0.0,0.02,0.03,True
464,67,76,0.0,0.02,0.03,True
465,70,77,0.0,0.2,0.03,True
466,70,77,0.0,0.14000000000000026,0.03,True
468,8,76,0.0,0.08,0.03,True
471,12,77,0.0,0.1,0.03,True
471,67,76,0.0,0.06,0.03,True
472,67,76,0.0,0.02,0.03,True
473,67,76,0.0,0.02,0.03,True
474,8,76,0.0,0.02,0.03,True
