tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance
4,38,0.9788,care,45,0.0,0.3325,8
4,36,0.9538,care,39,0.0,0.27,1
4,44,0.9788,care,39,0.0,0.27,2
4,58,0.9888,care,45,0.0,0.3325,5
5,36,0.9233199999999999,care,45,0.0,0.399,6
5,44,0.97332,care,45,0.5,0.399,6
5,58,0.98332,care,45,0.0,0.399,4
5,50,0.9483199999999999,care,39,0.0,0.3165,3
5,38,0.97332,care,45,0.0,0.399,7
6,38,0.96776,care,45,0.0,0.3405,6
6,36,0.9177599999999999,care,45,0.0,0.3405,5
6,58,0.97776,care,45,0.0,0.3405,3
6,50,0.9427599999999999,care,39,0.0,0.383,2
6,44,0.96776,care,45,0.5,0.3405,5
7,58,0.97212,care,45,0.0,0.28200000000000003,2
7,50,0.93712,care,37,0.0,0.391,4
7,38,0.96212,care,45,0.0,0.28200000000000003,5
7,44,0.96212,care,45,0.5,0.28200000000000003,4
7,36,0.9121199999999999,care,45,0.0,0.28200000000000003,4
8,36,0.9063999999999999,care,37,0.5,0.4575,7
8,58,0.9663999999999999,care,39,0.0,0.391,5
8,50,0.9313999999999999,care,37,0.0,0.4575,3
8,44,0.9563999999999999,care,45,0.5,0.2235,3
8,38,0.9563999999999999,care,37,0.0,0.4575,6
9,40,0.9355999999999999,care,47,0.0,0.2275,1
9,38,0.9505999999999999,care,37,0.0,0.399,5
9,50,0.9255999999999999,care,37,0.0,0.399,2
9,44,0.9505999999999999,care,45,0.5,0.165,2
9,36,0.9005999999999998,care,37,0.5,0.399,6
9,58,0.9605999999999999,care,39,0.0,0.3325,4
9,46,0.9505999999999999,care,41,0.0,0.34850000000000003,3
10,46,0.9447199999999999,care,41,0.0,0.35250000000000004,2
10,36,0.8947199999999998,care,37,0.5,0.3405,5
10,40,0.9047199999999999,care,41,0.5,0.35250000000000004,5
10,58,0.9547199999999999,care,39,0.0,0.274,3
10,50,0.9197199999999999,care,37,0.0,0.3405,1
10,38,0.9447199999999999,care,37,0.0,0.3405,4
11,40,0.8987599999999999,care,41,0.5,0.29400000000000004,4
11,46,0.9387599999999999,care,47,0.5,0.3205,5
11,50,0.8887599999999999,care,37,0.0,0.3165,1
11,58,0.9487599999999999,care,37,0.0,0.3165,7
11,38,0.9387599999999999,care,37,0.0,0.3165,3
11,36,0.8937599999999999,care,37,0.5,0.3165,5
12,36,0.8877199999999998,care,59,0.0,0.30200000000000005,6
12,38,0.9327199999999999,care,37,0.0,0.254,2
12,58,0.9427199999999999,care,37,0.0,0.254,6
12,44,0.9327199999999999,care,39,0.0,0.28200000000000003,3
13,38,0.9315999999999999,care,37,0.0,0.3205,2
13,44,0.9265999999999999,care,59,0.0,0.36850000000000005,3
13,36,0.8815999999999998,care,59,0.0,0.36850000000000005,5
13,58,0.9365999999999999,care,37,0.0,0.3205,5
13,50,0.8515999999999998,care,39,0.0,0.28600000000000003,3
14,50,0.8453999999999998,care,39,0.0,0.29000000000000004,2
14,44,0.9203999999999999,care,59,0.0,0.43500000000000005,2
14,38,0.9253999999999999,care,37,0.0,0.387,1
14,36,0.8753999999999998,care,59,0.0,0.43500000000000005,4
14,58,0.9303999999999999,care,37,0.0,0.387,4
15,38,0.8941199999999999,care,37,0.0,0.4415,1
15,36,0.8691199999999999,care,59,0.0,0.5015000000000001,3
15,50,0.8391199999999999,care,59,0.0,0.5015000000000001,6
15,58,0.9241199999999999,care,59,0.5,0.5015000000000001,7
15,44,0.9141199999999999,care,59,0.0,0.5015000000000001,1
16,58,0.9177599999999999,care,59,0.5,0.379,6
16,36,0.8627599999999999,care,37,0.5,0.504,8
16,50,0.8327599999999998,care,59,0.0,0.379,6
16,44,0.8827599999999999,care,45,0.5,0.44300000000000006,6
16,38,0.8627599999999999,care,37,0.0,0.504,1
17,46,0.8763199999999999,care,41,0.0,0.31800000000000006,4
17,36,0.8563199999999999,care,37,0.5,0.4415,7
17,50,0.8313199999999998,care,59,0.0,0.3205,6
17,44,0.8763199999999999,care,45,0.5,0.38450000000000006,5
17,40,0.8613199999999999,care,47,0.0,0.133,2
17,58,0.9113199999999999,care,59,0.5,0.3205,5
17,38,0.8313199999999998,care,37,0.0,0.4415,1
18,52,0.8126799999999998,care,45,0.0,0.32600000000000007,8
18,46,0.8697999999999999,care,41,0.0,0.38450000000000006,3
18,40,0.8547999999999999,care,47,0.0,0.1995,1
18,50,0.8297999999999999,care,59,0.0,0.262,6
18,58,0.9047999999999999,care,51,0.0,0.38850000000000007,4
18,44,0.8697999999999999,care,45,0.5,0.32600000000000007,4
18,38,0.7997999999999998,care,51,0.0,0.38850000000000007,3
18,36,0.8497999999999999,care,37,0.5,0.379,6
19,46,0.8631999999999999,care,41,0.0,0.38850000000000007,2
19,58,0.8981999999999999,care,51,0.0,0.39250000000000007,3
19,50,0.8281999999999998,care,51,0.5,0.39250000000000007,5
19,44,0.8631999999999999,care,51,0.0,0.39250000000000007,6
19,40,0.8231999999999998,care,41,0.5,0.38850000000000007,5
19,38,0.7931999999999998,care,51,0.0,0.39250000000000007,2
19,36,0.8431999999999998,care,37,0.5,0.3205,5
19,52,0.8060799999999998,care,45,0.0,0.26750000000000007,7
20,50,0.8215199999999998,care,51,0.5,0.3340000000000001,4
20,40,0.8165199999999998,care,41,0.5,0.33000000000000007,4
20,36,0.8365199999999998,care,37,0.5,0.262,4
20,52,0.7993999999999998,care,45,0.0,0.20900000000000005,6
20,44,0.8565199999999998,care,51,0.0,0.3340000000000001,5
20,58,0.8915199999999999,care,51,0.0,0.3340000000000001,2
20,38,0.7865199999999998,care,51,0.0,0.3340000000000001,1
20,46,0.8565199999999998,care,41,0.0,0.33000000000000007,1
21,58,0.8847599999999999,care,51,0.0,0.1915,1
21,50,0.8147599999999998,care,51,0.5,0.1915,3
21,36,0.8297599999999998,care,59,0.0,0.399,7
21,38,0.7547599999999998,care,59,0.0,0.399,7
21,44,0.8497599999999998,care,51,0.0,0.1915,4
21,46,0.8247599999999998,care,47,0.5,0.3245,5
21,40,0.8097599999999998,care,41,0.5,0.1915,3
22,48,0.8223199999999999,care,53,0.0,0.3365,1
22,58,0.8529199999999999,care,59,0.5,0.403,6
22,38,0.7479199999999998,care,59,0.0,0.403,7
22,52,0.7857999999999998,care,45,0.0,0.2795000000000001,4
22,50,0.8079199999999999,care,51,0.5,0.129,2
22,36,0.8229199999999999,care,59,0.0,0.403,7
22,44,0.8429199999999999,care,51,0.0,0.129,3
23,58,0.8459999999999999,care,59,0.5,0.34450000000000003,5
23,48,0.7903999999999999,care,53,0.0,0.379,1
23,44,0.8359999999999999,care,45,0.5,0.3460000000000001,4
23,50,0.8059999999999998,care,45,0.0,0.3460000000000001,6
23,38,0.7409999999999998,care,59,0.0,0.34450000000000003,6
23,36,0.8159999999999998,care,59,0.0,0.34450000000000003,6
23,52,0.7788799999999998,care,53,0.5,0.379,6
24,50,0.7989999999999998,care,45,0.0,0.2875000000000001,5
24,36,0.8089999999999998,care,37,0.5,0.3405,5
24,44,0.8289999999999998,care,45,0.5,0.2875000000000001,3
24,58,0.8389999999999999,care,59,0.5,0.28600000000000003,4
24,38,0.7339999999999998,care,59,0.0,0.28600000000000003,5
24,52,0.7718799999999998,care,53,0.5,0.3165,5
24,48,0.7583999999999999,care,53,0.0,0.3165,1
25,40,0.7819199999999998,care,47,0.0,0.2155,1
25,46,0.8069199999999999,care,41,0.0,0.3325,3
26,40,0.7497599999999998,care,41,0.5,0.3365,5
26,46,0.7997599999999998,care,41,0.0,0.3365,2
27,38,0.7125199999999997,care,37,0.0,0.165,4
27,46,0.7925199999999998,care,41,0.0,0.278,1
27,50,0.7775199999999998,care,39,0.0,0.3420000000000001,6
27,58,0.8175199999999998,care,39,0.0,0.3420000000000001,4
27,36,0.7875199999999998,care,37,0.5,0.165,2
27,44,0.7825199999999998,care,39,0.0,0.3420000000000001,6
27,40,0.7425199999999997,care,41,0.5,0.278,4
28,40,0.7351999999999997,care,41,0.5,0.1915,3
28,44,0.7751999999999998,care,39,0.0,0.3460000000000001,5
28,36,0.7801999999999998,care,37,0.5,0.10650000000000001,1
28,38,0.7051999999999997,care,37,0.0,0.10650000000000001,3
28,46,0.7601999999999998,care,47,0.5,0.3245,5
28,48,0.6795999999999998,care,41,0.0,0.1915,7
28,54,0.8669999999999999,care,49,0.0,0.29000000000000004,4
28,58,0.8101999999999998,care,39,0.0,0.3460000000000001,3
28,50,0.7701999999999998,care,39,0.0,0.3460000000000001,5
29,58,0.8027999999999998,care,39,0.0,0.3500000000000001,2
29,50,0.7627999999999998,care,39,0.0,0.3500000000000001,4
29,52,0.7356799999999998,care,49,0.0,0.35650000000000004,2
29,38,0.6977999999999998,care,37,0.0,0.0665,2
29,48,0.6721999999999998,care,41,0.0,0.133,6
29,36,0.7477999999999998,care,39,0.0,0.3500000000000001,4
29,54,0.8595999999999999,care,55,0.5,0.403,6
29,44,0.7677999999999998,care,39,0.0,0.3500000000000001,4
30,44,0.7603199999999998,care,39,0.0,0.3540000000000001,3
30,36,0.7403199999999998,care,39,0.0,0.3540000000000001,3
30,52,0.7281999999999997,care,49,0.0,0.42300000000000004,1
30,38,0.6953199999999997,care,39,0.5,0.3540000000000001,4
30,58,0.7953199999999998,care,39,0.0,0.3540000000000001,1
30,50,0.7553199999999998,care,39,0.0,0.3540000000000001,3
30,48,0.6647199999999998,care,41,0.0,0.0745,5
30,42,0.6803199999999997,care,59,0.0,0.31000000000000005,8
30,54,0.8521199999999999,care,55,0.5,0.34450000000000003,5
